 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | lumi_run3 | 0 / 0 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.0208602 / -0.0208631 | 0.0208602 / -0.0208631 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0325375 / -0.0325463 | 0.0406132 / -0.0406273 | 0.0295505 / -0.0295577 | 0.0390797 / -0.0390928 | 0 / 0 | 0.0366187 / -0.03663 | 0.0360384 / -0.0360494 | 0.0360839 / -0.036095 | 0.0349267 / -0.034937 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.01102 / -0.0110181 | 0.0176954 / -0.0176908 | 0.0205238 / -0.0205177 | 0.0229105 / -0.0229029 | 0 / 0 | 0.0156547 / -0.0156511 | 0.0206959 / -0.0206896 | 0.0219685 / -0.0219615 | 0.0198855 / -0.0198797 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.0432762 / -0.0432819 | 0.0500482 / -0.0500558 | 0.0294062 / -0.0294089 | 0.0433837 / -0.0433895 | 0 / 0 | 0.0366123 / -0.0366165 | 0.0461654 / -0.0461719 | 0.0448863 / -0.0448925 | 0.0454892 / -0.0454956 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0484159 / -0.0484125 | 0.0556258 / -0.0556219 | 0.0401407 / -0.0401379 | 0.053079 / -0.0530752 | 0 / 0 | 0.0324871 / -0.0324849 | 0.0483129 / -0.0483094 | 0.0519131 / -0.0519093 | 0.0372576 / -0.037255 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.0282117 / 0.0282211 | -0.0292429 / 0.029253 | -0.0235919 / 0.0235988 | -0.0284195 / 0.0284291 | 0 / 0 | -0.0186754 / 0.0186798 | -0.0299977 / 0.0300083 | -0.0358142 / 0.0358286 | -0.0266118 / 0.0266203 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.0568089 / -0.0564933 | 0.0650352 / -0.0646266 | 0.0647396 / -0.0643345 | 0.0695867 / -0.0691221 | 0 / 0 | 0.0459487 / -0.0457389 | 0.0598377 / -0.0594891 | 0.0702546 / -0.0697815 | 0.055408 / -0.0551071 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0320177 / -0.0319978 | 0.035215 / -0.0351911 | 0.0326321 / -0.0326114 | 0.0417862 / -0.0417535 | 0 / 0 | 0.0307603 / -0.0307418 | 0.0412166 / -0.0411848 | 0.0402484 / -0.040218 | 0.0255499 / -0.0255369 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.0213874 / -0.0213812 | 0.0258422 / -0.0258333 | 0.0147975 / -0.0147943 | 0.0243805 / -0.0243726 | 0 / 0 | 0.0211511 / -0.0211451 | 0.026566 / -0.0265567 | 0.0274125 / -0.0274027 | 0.0226451 / -0.0226382 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run3 | 0 / 0 | -0.0553517 / 0.0557513 | -0.0531788 / 0.0535488 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
