 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_18      | bias_18 |
 | JET_JER_EffectiveNP_8 | 0 / 0 | -0.0262022 / 0.0262616 | 0 / 0 | -0.020836 / 0.063485 | 0.153315 / -0.142405 | 0 / 0 | 0.0595566 / -0.0585975 | -0.0675026 / 0.0742904 | 0.0523623 / -0.0511122 | -0.0289775 / 0.0339715 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_9 | 0 / 0 | 0.0213116 / -0.0213116 | 0 / 0 | -0.0282444 / 0.053094 | -0.0262408 / 0.0262408 | 0 / 0 | -0.0459405 / 0.0466898 | -0.046572 / 0.0511473 | 4.44089e-16 / -2.22045e-16 | -1.11022e-16 / -3.33067e-16 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | -0.0472427 / 0.0472427 | 0 / 0 | -0.151429 / 0.208198 | -0.0700872 / 0.0700873 | 0 / 0 | 0.0319672 / -0.0317162 | 0.0829147 / -0.0829148 | -0.0191955 / 0.0206618 | -1.11022e-16 / -3.33067e-16 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0.0277022 / -0.0277021 | 2.22045e-16 / 0 | -0.0252545 / 0.0326172 | 0.0898679 / -0.0898679 | 0 / 0 | 0.0144178 / -0.0142986 | 0 / 0 | 0.0377588 / -0.0377588 | 0.0340886 / -0.0234797 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_0_run2 | 0 / 0 | -0.0385125 / 0.0385125 | 0 / 0 | -0.0797679 / 0.0797678 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_1_run2 | 0 / 0 | 0.0313537 / -0.0313536 | 0 / 0 | 0.0596961 / -0.0596961 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | passHLT_run2 | 0 / 0 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_norm | 0 / 0 | -0.0402054 / 0.0402054 | -0.0276131 / 0.0276131 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | hcc_BR | 0 / 0 | 0 / 0 | 0.012 / -0.012 | 0 / 0 | 0.012 / -0.012 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0 / 0 | 0.0142853 / -0.0142853 | -0.00982009 / 0.0211807 | 0.0338287 / -0.033349 | 0 / 0 | -0.015207 / 0.0160344 | -0.0129665 / 0.0129665 | 0 / -3.33067e-16 | -0.0100702 / 0.0100703 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0 / 0 | 0.0123536 / -0.0123536 | 0.0188271 / 0.00485262 | 0.0127736 / -0.00773151 | 0 / 0 | 0.0315385 / -0.0315385 | 0 / 0 | 0.0204712 / -0.0204713 | 0.0464946 / -0.0423813 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | 0 / 0 | -0.0125745 / 0.0125745 | 0.0211433 / 0.048312 | 0.0621119 / -0.0553787 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | -0.0559718 / 0.0559718 | -0.0575134 / 0.0575135 | -0.0230671 / 0.0262751 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0 / 0 | 0.0209081 / -0.020908 | 0.140029 / -0.1162 | -0.0632169 / 0.0668099 | 0 / 0 | 0.0170121 / -0.0166885 | 0.047253 / -0.047253 | 0 / 0 | -3.33067e-16 / -3.33067e-16 | 0 / 0 | 0 / 0 |
 | JET_JERMC_DataVsMC_MC16 | 0 / 0 | 0 / 0 | 0.0109084 / -0.0109085 | -0.0659783 / 0.0835621 | -0.0904604 / 0.0959428 | 0 / 0 | -0.0420338 / 0.0424961 | 0 / 0 | 0.0293183 / -0.0293183 | 0.0776271 / -0.076107 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_C_2_run2 | 0 / 0 | 0 / 0 | 0.0187336 / -0.0187336 | 0 / 0 | 0.0374234 / -0.0374235 | 0 / 0 | 0.0349978 / -0.0349978 | 0.0337764 / -0.0337764 | 0.0283935 / -0.0283935 | 0.0225013 / -0.0225013 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0.0380648 / -0.0172127 | -0.0385542 / 0.0440034 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | -0.0277803 / 0.0277803 | 0 / 0 | 0.0562995 / -0.0515353 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | 0 / 0 | 2.22045e-16 / -2.22045e-16 | 0.024555 / 0.00965009 | 0.0478637 / -0.0404795 | 0 / 0 | 0.0234395 / -0.023213 | 0.0320229 / -0.032023 | -0.0271374 / 0.0271375 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0.0578428 / -0.00263731 | -0.0666813 / 0.0858476 | 0 / 0 | 0.0152326 / -0.0150557 | 0.0398588 / -0.0398588 | -0.0388697 / 0.0388697 | 0.0249756 / -0.0210022 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_5 | 0 / 0 | 0 / 0 | -2.22045e-16 / -5.55112e-16 | 0.0665289 / -0.0208725 | 0.0165352 / -0.0162598 | 0 / 0 | 0.0149793 / -0.0147699 | 0.0854882 / -0.0840615 | -0.0530458 / 0.0571993 | 0.0154447 / -0.0131712 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_mBB | 0 / 0 | 0 / 0 | -3.33067e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_pT_balance | 0 / 0 | 0 / 0 | 0 / -3.33067e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ggf_xs | 0 / 0 | 0 / 0 | 0 / 0 | 0.046 / -0.067 | 0.046 / -0.067 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ggf_PDF_aS | 0 / 0 | 0 / 0 | 0 / 0 | 0.032 / -0.032 | 0.032 / -0.032 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedPDF | 0 / 0 | 0 / 0 | 0 / 0 | 0.0589682 / -0.0257311 | 0.0992355 / -0.0992355 | 0 / 0 | 0.0135045 / -0.0129408 | -0.0303091 / 0.0303091 | -0.0884677 / 0.0884677 | -0.0414605 / 0.0455788 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0 / 0 | 0 / 0 | 0.0394052 / 0.0158146 | 0 / 0 | 0 / 0 | 4.44089e-16 / 0 | 0 / 0 | 0.0174205 / -0.0174205 | -0.0309065 / 0.03364 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0 / 0 | 0 / 0 | 0 / 0 | 0.00829918 / 0.0104078 | 0.122077 / -0.122077 | 0 / 0 | -0.0154071 / 0.0160802 | 0 / 0 | 0.0263435 / -0.0263435 | -0.00758043 / 0.0123341 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical6 | 0 / 0 | 0 / 0 | 0 / 0 | 0.07665 / -0.059504 | 0.0278645 / -0.0232129 | 0 / 0 | -0.0232587 / 0.0242859 | -0.0121918 / 0.0121919 | -2.22045e-16 / 2.22045e-16 | -0.021282 / 0.0212819 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical5 | 0 / 0 | 0 / 0 | 0 / 0 | 0.105377 / -0.0957329 | -0.0692117 / 0.0692117 | 0 / 0 | 0 / -2.22045e-16 | -0.028241 / 0.0299516 | -2.22045e-16 / -3.33067e-16 | 0.0293445 / -0.0246808 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical4 | 0 / 0 | 0 / 0 | 0 / 0 | 0.101944 / -0.0723442 | 0.0527306 / -0.0527306 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | -2.22045e-16 / 2.22045e-16 | -0.0172621 / 0.0218556 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical3 | 0 / 0 | 0 / 0 | 0 / 0 | 0.133312 / -0.0594203 | 0.0846691 / -0.0794915 | 0 / 0 | 0 / 4.44089e-16 | -0.0196493 / 0.0208981 | 2.22045e-16 / -3.33067e-16 | -0.019126 / 0.0207847 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical2 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0700295 / 0.109975 | 0 / 0 | 0 / 0 | -0.0125399 / 0.0127145 | 0 / 0 | 0 / 0 | -1.11022e-16 / -5.55112e-16 | 0 / 0 | 0 / 0 |
