 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | JET_JESUnc_Noise_PreRec | 0 / 0 | 0 / 4.44089e-16 | 0 / 0 | 0 / 0 | 0.0929959 / -0.092996 | 0 / 0 | 0.0106321 / -0.0102911 | -0.0162767 / 0.0162767 | 0.0960119 / -0.0514553 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | 2.22045e-16 / 6.66134e-16 | -0.0188725 / 0.0298548 | -0.124327 / 0.140457 | -0.170715 / 0.186086 | 0 / 0 | -0.0225966 / 0.0229827 | -0.025547 / 0.0276221 | -0.180829 / 0.326214 | -0.0145922 / 0.0168175 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_mBB | 0 / 0 | 2.22045e-16 / 4.44089e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_pT_balance | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | hcc_BR | 0 / 0 | 0 / 0 | 0.012 / -0.012 | 0 / 0 | 0.012 / -0.012 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0 / 0 | 0.0145704 / -0.0145704 | 0.0158227 / -0.0158228 | 0.070215 / -0.070215 | 0 / 0 | 0.0149708 / -0.0149707 | 0 / 0 | 0.126671 / -0.113926 | 0.0474994 / -0.0467229 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | -0.0836762 / 0.0836762 | -0.0867168 / 0.102898 | -0.156272 / 0.167543 | 0 / 0 | -0.0157354 / 0.0161182 | -0.0461757 / 0.0476471 | -0.0952392 / 0.22729 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0 / 0 | 0 / 0 | 0.0797191 / -0.0797191 | 0.0761193 / -0.0761193 | 0.0786435 / -0.0786435 | 0 / 0 | 0 / 0 | 0.0599447 / -0.057509 | 0.121591 / -0.121591 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_4 | 0 / 0 | 0 / 0 | 0.0363331 / -0.0363331 | -0.071286 / 0.0717689 | 0.0840526 / -0.077984 | 0 / 0 | 0 / 2.22045e-16 | 0.0628622 / -0.0607614 | -0.157458 / 0.198846 | 0.0681239 / -0.0681239 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_5 | 0 / 0 | 0 / 0 | 0.0140491 / -0.0140491 | 0.100757 / -0.096442 | -0.0352036 / 0.0372605 | 0 / 0 | 0 / 0 | -0.00892888 / 0.0112848 | 0.180233 / -0.168881 | -0.0230838 / 0.0230838 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_6 | 0 / 0 | 0 / 0 | 0.0240119 / -0.0240119 | 0.109771 / -0.109771 | 0.0865062 / -0.0864458 | 0 / 0 | 2.22045e-16 / 4.44089e-16 | 0 / 0 | 0.0755717 / -0.0755717 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_9 | 0 / 0 | 0 / 0 | -0.0370227 / 0.0370227 | -0.0836126 / 0.0928408 | -0.0971423 / 0.102795 | 0 / 0 | 0 / 0 | -0.0262779 / 0.0282133 | -0.0334584 / 0.0827721 | -0.0164623 / 0.0164771 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | 0.0273339 / -0.0261764 | 0.0474956 / -0.0432354 | -0.0377599 / 0.0378447 | 0 / 0 | 2.22045e-16 / -1.11022e-16 | -0.0118157 / 0.0118157 | 0.0824372 / -0.0824372 | 0.0158091 / -0.0158091 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | -0.0662805 / 0.0662804 | -0.0782928 / 0.0826607 | -0.109829 / 0.111962 | 0 / 0 | 4.44089e-16 / 2.22045e-16 | 0 / 0 | -0.0906824 / 0.107345 | 0.0205951 / -0.0204803 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_C_0_run3 | 0 / 0 | 0 / 0 | -0.0276614 / 0.0276614 | 0 / 0 | -0.0702167 / 0.0702167 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0337937 / 0.0337937 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_C_1_run3 | 0 / 0 | 0 / 0 | -0.0577788 / 0.0577788 | 0 / 0 | -0.108907 / 0.108907 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0588307 / 0.0588307 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_C_2_run3 | 0 / 0 | 0 / 0 | 0.0115063 / -0.0115063 | 0 / 0 | 0.0270301 / -0.02703 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0152863 / -0.0152863 | 0 / 0 | 0 / 0 |
 | PDF90402_vbfhcc_2223 | 0 / 0 | 0 / 0 | 0.024363 / -0.024363 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90403_vbfhcc_2223 | 0 / 0 | 0 / 0 | 0.0196113 / -0.0196113 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90404_vbfhcc_2223 | 0 / 0 | 0 / 0 | 0.0123136 / -0.0123136 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90409_vbfhcc_2223 | 0 / 0 | 0 / 0 | -0.0143837 / 0.0143837 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90411_vbfhcc_2223 | 0 / 0 | 0 / 0 | -0.016713 / 0.016713 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90412_vbfhcc_2223 | 0 / 0 | 0 / 0 | 0.0279077 / -0.0279077 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
