 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | pol_BBSR2_run3 | -2.81438e-06 / 2.81438e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | lumi_run3 | 0 / 0 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.0208602 / -0.0208631 | 0.0208602 / -0.0208631 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedExp | 0 / 0 | -0.0195603 / 0.0230494 | -0.019663 / 0.015514 | 0 / 0 | -0.0147417 / 0.0084856 | 0 / 0 | -0.0154223 / 0.0218845 | -0.0286843 / 0.0417683 | -0.0239016 / 0.0178492 | -0.0172058 / 0.0231318 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0106378 / -0.0106385 | -0.0195391 / 0.0195366 | 0.0649327 / -0.0510408 | 0.0175438 / 0.00519772 | 0 / 0 | 0.0177709 / -0.0169552 | -0.0204214 / 0.0208152 | -0.042949 / 0.0429385 | 0.0198851 / -0.0196717 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0176658 / -0.0176612 | 0.0285006 / -0.0284892 | 0.0650531 / -0.0576826 | 0.016012 / -0.0160082 | 0 / 0 | 0.017777 / -0.0173096 | 0.0397466 / -0.0247078 | 0.165504 / 0.00408386 | 0.0185675 / -0.0185624 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.0142917 / -0.0142923 | -0.0101649 / 0.0101646 | 0.0625776 / -0.0484876 | 0.0425767 / 0.00731636 | 0 / 0 | 0.0206383 / -0.0193488 | 0.014503 / -0.000623031 | 0.191089 / 0.136501 | 0.0166729 / -0.0147024 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0396153 / -0.0396125 | 0.0536538 / -0.05365 | 0.0273302 / -0.0133634 | 0.0799178 / -0.0799151 | 0 / 0 | 0.0323948 / -0.0309564 | 0.0766108 / -0.0615512 | 0.198702 / 0.0342244 | 0.0289171 / -0.0289154 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.0324033 / 0.0324154 | -0.0352689 / 0.035283 | -0.0291157 / 0.0291257 | -0.0598908 / 0.059924 | 0 / 0 | -0.028264 / 0.0282733 | -0.0368324 / 0.037229 | 0.0356159 / 0.0106826 | -0.0318148 / 0.0318265 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.0571954 / -0.0568757 | 0.0770886 / -0.0765248 | 0.0816664 / -0.0617993 | 0.136597 / -0.0999049 | 0 / 0 | 0.0625769 / -0.0611224 | 0.0635072 / -0.0481193 | 0.461067 / -0.0507532 | 0.0509772 / -0.0507209 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0373507 / -0.0373242 | 0.0305733 / -0.030555 | 0.0476562 / -0.0339055 | 0.0330758 / -0.0330547 | 0 / 0 | 0.0392536 / -0.0387577 | 0.0804005 / -0.0662088 | 0.250926 / -0.00442069 | 0.030588 / -0.0305697 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.0146557 / -0.0146527 | 0.0108881 / -0.0108864 | 0.0651268 / -0.0514506 | 0.0551909 / -0.0551573 | 0 / 0 | 0.0203201 / -0.0198446 | 0.0191405 / -0.0131715 | -0.00247587 / 0.0216982 | 0.0207817 / -0.0207759 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run3 | 0 / 0 | -0.0862204 / 0.087147 | -0.0944455 / 0.0955432 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0 / 0 | 0.0187795 / -0.0187382 | 0.0334245 / -0.0332965 | 0.0742158 / -0.0550733 | 0.0117719 / 0.0276234 | 0 / 0 | 0.0268174 / -0.0263234 | 0.0441177 / -0.0273738 | 0.106523 / 0.0148395 | 0.0167783 / -0.0167452 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0 / 0 | 0.109796 / -0.109412 | 0.113127 / -0.112726 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_FCal_MC23_NonClosure_PreRec | 0 / 0 | 0.0361566 / -0.0361658 | 0.0207939 / -0.0207969 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | -0.0107496 / 0.0107622 | -0.0623637 / 0.0628212 | -0.00530793 / 0.039302 | 0.0376413 / 0.0180675 | 0 / 0 | 0.012838 / -0.0121089 | -0.071384 / 0.110028 | 0.571484 / 0.0837487 | -0.0298942 / 0.0363562 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_1_run3 | 0 / 0 | 0.0176555 / -0.0176546 | 0 / 0 | 0.0269996 / -0.0269978 | 0 / 0 | 0 / 0 | 0.0387468 / -0.0387439 | 0.042239 / -0.042236 | 0.0483352 / -0.0483319 | 0 / 0 | 0 / 0 | 0 / 0 |
 | passHLT_run3 | 0 / 0 | 0.0247885 / -0.0247893 | 0.0247885 / -0.0247893 | 0.0247885 / -0.0247893 | 0.0247885 / -0.0247893 | 0.0247885 / -0.0247893 | 0.0247885 / -0.0247893 | 0.0247885 / -0.0247893 | 0.0247885 / -0.0247893 | 0.0247885 / -0.0247893 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_norm | 0 / 0 | -0.0292709 / 0.0292652 | -0.0279798 / 0.0279746 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PRW_DATASF | 0 / 0 | 3.28436e-06 / -3.22088e-06 | 0.03212 / -0.0321338 | 0 / 0 | 0.0281799 / -0.0281906 | 0 / 0 | 0 / 0 | -0.0146352 / 0.0146322 | -0.0279238 / 0.0279128 | -0.0154056 / 0.0154023 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | 0 / 0 | 6.47815e-06 / -6.42899e-06 | 0 / 0 | -0.0185512 / 0.0185498 | -0.016278 / 0.0162769 | 0 / 0 | -1.44625e-07 / 9.7585e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
