 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | pol_BBSR2_run3 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | lumi_run3 | 0 / 0 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.021 / -0.021 | 0.021 / -0.021 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedExp | 0 / 0 | -0.0170826 / 0.0201794 | -0.0176317 / 0.0138409 | 0 / 0 | -0.0134 / 0.00772456 | 0 / 0 | -0.0132392 / 0.0190347 | -0.0246167 / 0.0362738 | -0.0214988 / 0.0159727 | -0.0148491 / 0.0201534 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0108176 / -0.0108175 | -0.0197813 / 0.0197813 | 0.0655251 / -0.0513714 | 0.0172096 / 0.00595166 | 0 / 0 | 0.0179051 / -0.017074 | -0.0206802 / 0.0210844 | -0.0434443 / 0.0434443 | 0.0201475 / -0.0199271 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0179588 / -0.0179589 | 0.0289413 / -0.0289413 | 0.0657881 / -0.0581707 | 0.0162458 / -0.0162458 | 0 / 0 | 0.0179191 / -0.0174372 | 0.0395951 / -0.0239378 | 0.159215 / 0.0172057 | 0.0188412 / -0.0188413 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.0143891 / -0.0143892 | -0.0102001 / 0.0102001 | 0.0628479 / -0.0486941 | 0.0429426 / 0.00713624 | 0 / 0 | 0.020599 / -0.0193038 | 0.0146127 / -0.000682251 | 0.193332 / 0.135565 | 0.0167381 / -0.0147595 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0397724 / -0.0397724 | 0.0538732 / -0.0538732 | 0.0270629 / -0.0129916 | 0.0802906 / -0.0802907 | 0 / 0 | 0.0324207 / -0.0309763 | 0.0765468 / -0.0614025 | 0.193144 / 0.04122 | 0.0290117 / -0.0290117 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.0331608 / 0.0331607 | -0.036102 / 0.0361019 | -0.0297857 / 0.0297857 | -0.0614027 / 0.0614026 | 0 / 0 | -0.0288963 / 0.0288962 | -0.037669 / 0.0380708 | 0.0405672 / 0.00846461 | -0.0325532 / 0.0325532 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.0577822 / -0.0577823 | 0.0779977 / -0.0779977 | 0.08098 / -0.0592739 | 0.135565 / -0.0961146 | 0 / 0 | 0.0630916 / -0.061882 | 0.0629139 / -0.0459774 | 0.431686 / 0.0186331 | 0.051468 / -0.051468 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0376619 / -0.037662 | 0.0308055 / -0.0308055 | 0.0473518 / -0.033202 | 0.0333262 / -0.0333263 | 0 / 0 | 0.0394763 / -0.0389954 | 0.0804524 / -0.0659419 | 0.240185 / 0.0129895 | 0.0308157 / -0.0308157 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.0148871 / -0.0148872 | 0.011037 / -0.011037 | 0.0654909 / -0.0513371 | 0.0560829 / -0.0560829 | 0 / 0 | 0.0205456 / -0.0200571 | 0.0191148 / -0.0129054 | -0.00342628 / 0.0234787 | 0.0210773 / -0.0210773 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run3 | 0 / 0 | -0.0953028 / 0.0953029 | -0.104477 / 0.104477 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0 / 0 | 0.0194938 / -0.0194937 | 0.034557 / -0.034557 | 0.0752216 / -0.0528974 | 0.00871595 / 0.0390353 | 0 / 0 | 0.0275369 / -0.0270419 | 0.0441265 / -0.0241923 | 0.0991211 / 0.0471413 | 0.0173179 / -0.0173179 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0 / 0 | 0.116069 / -0.116069 | 0.119581 / -0.119581 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_FCal_MC23_NonClosure_PreRec | 0 / 0 | 0.0365027 / -0.0365027 | 0.0209882 / -0.0209883 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | -0.0103622 / 0.0103621 | -0.0599441 / 0.0599442 | -0.00725239 / 0.0427655 | 0.0326146 / 0.0254724 | 0 / 0 | 0.0123483 / -0.0116108 | -0.0707416 / 0.110479 | 0.498349 / 0.171513 | -0.0291542 / 0.0357905 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_1_run3 | 0 / 0 | 0.0178152 / -0.0178153 | 0 / 0 | 0.0272613 / -0.0272613 | 0 / 0 | 0 / 0 | 0.0391406 / -0.0391405 | 0.0426743 / -0.0426743 | 0.0488453 / -0.0488453 | 0 / 0 | 0 / 0 | 0 / 0 |
 | passHLT_run3 | 0 / 0 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_norm | 0 / 0 | -0.0294597 / 0.0294597 | -0.0281604 / 0.0281604 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PRW_DATASF | 0 / 0 | 0 / -3.33067e-16 | 0.0325857 / -0.0325856 | 0 / 0 | 0.0285845 / -0.0285845 | 0 / 0 | 0 / 0 | -0.0148467 / 0.0148467 | -0.0283281 / 0.028328 | -0.0156282 / 0.0156283 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | 0 / 0 | -3.33067e-16 / 2.22045e-16 | 0 / 0 | -0.0186265 / 0.0186265 | -0.0163439 / 0.0163439 | 0 / 0 | 4.44089e-16 / 4.44089e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0 / 0 | -2.22045e-16 / -5.55112e-16 | 0.0100661 / -0.0100662 | 0.0259221 / -0.0183046 | 0.0163439 / -0.0163439 | 0 / 0 | 2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | -2.22045e-16 / -3.33067e-16 | 0 / 0 | 0.0654509 / -0.0512971 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00217832 / 0.0181516 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0 / 0 | -2.22045e-16 / 0 | 0.0131538 / -0.0131538 | 0.05788 / -0.0578799 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | -0.00727209 / 0.0272164 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | -3.33067e-16 / -2.22045e-16 | 0.0117921 / -0.0117921 | -0.0101695 / 0.0101695 | 0.0307871 / -0.0221009 | 0 / 0 | 0 / 2.22045e-16 | 0.096058 / -0.096058 | 0.151522 / -0.0414799 | 0.0138197 / -0.0138196 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_6 | 0 / 0 | 0 / -2.22045e-16 | 0.0143735 / -0.0143734 | -0.0235816 / 0.0235816 | -0.0329204 / 0.0329203 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0.0737422 / -0.0729516 | 0.281493 / -0.0569422 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 2.22045e-16 / -7.77156e-16 | 0 / 0 | 0.0191073 / -0.014301 | -0.0370843 / 0.0370842 | 0 / 0 | 2.22045e-16 / 0 | 0.0240928 / -0.000959628 | 0.392813 / 0.00771365 | 0.0147637 / -0.0147637 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_mBB | 0 / 0 | -5.55112e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_pT_balance | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | hcc_BR | 0 / 0 | 0 / 0 | 0.012 / -0.012 | 0 / 0 | 0.012 / -0.012 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | 0.0133643 / -0.0133643 | -0.0195704 / 0.0337519 | 0.0152282 / 0.0505309 | 0 / 0 | -0.0164291 / 0.0175514 | -0.0185654 / 0.0540877 | 0.288557 / 0.135886 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_5 | 0 / 0 | 0 / 0 | 0.0556155 / -0.0556155 | 0.0484618 / -0.0484618 | 0.0886187 / -0.0886187 | 0 / 0 | 0 / 0 | -0.0408126 / 0.0475185 | 0.0332567 / 0.0247851 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_7 | 0 / 0 | 0 / 0 | -0.0226394 / 0.0226393 | 0.0181923 / -0.0181922 | 0.0688792 / -0.065759 | 0 / 0 | -5.55112e-16 / 2.22045e-16 | 0.0335388 / -0.0255357 | 0.0213449 / 0.0699759 | -0.0183724 / 0.0183724 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | 0.0214994 / -0.0214995 | 0.0270506 / -0.0270506 | 0.0234068 / -0.0234068 | 0 / 0 | -0.0109228 / 0.0116064 | -0.0141094 / 0.0141094 | 0.164954 / -0.060576 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JERMC_DataVsMC_MC16 | 0 / 0 | 0 / 0 | -0.032622 / 0.0326221 | 0.0127679 / -0.0127678 | 0 / 0 | 0 / 0 | -3.33067e-16 / -3.33067e-16 | 0.0991644 / -0.0991644 | -0.116782 / 0.116783 | 0 / 0 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_C_0_run3 | 0 / 0 | 0 / 0 | -0.0357775 / 0.0357775 | 0 / 0 | -0.0888969 / 0.0888969 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0435211 / 0.0435211 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_C_1_run3 | 0 / 0 | 0 / 0 | -0.0601857 / 0.0601857 | 0 / 0 | -0.129485 / 0.129485 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0151738 / 0.0151738 | -0.0696302 / 0.0696302 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_C_2_run3 | 0 / 0 | 0 / 0 | 0.0152042 / -0.0152042 | 0 / 0 | 0.0395049 / -0.0395049 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0210084 / -0.0210084 | 0 / 0 | 0 / 0 |
