 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | pol_CCSR4 | -4.53938e-07 / 4.53938e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | lumi_run3 | 0 / 0 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.0208602 / -0.0208631 | 0.0208602 / -0.0208631 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PRW_DATASF | 0 / 0 | -0.0148701 / 0.014908 | 0 / 0 | -0.0627324 / 0.0766147 | 0.0344664 / -0.0344824 | 0 / 0 | -0.0285477 / 0.0290146 | 0 / 0 | 0 / 0 | 0.0157149 / -0.010111 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0403394 / -0.0403366 | 0.0325272 / -0.0325251 | -0.00131314 / 0.0417434 | -0.0721209 / 0.0798535 | 0 / 0 | 0.0295264 / -0.0295245 | 0.112086 / -0.108916 | 0.0445522 / -0.044549 | 0.0278927 / -0.0251389 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.0209053 / 0.0221062 | -0.0191523 / 0.0191569 | 0.0871395 / -0.0239077 | -0.106536 / 0.106597 | 0 / 0 | -0.0317485 / 0.0324786 | -0.0165559 / 0.0165594 | -0.0357981 / 0.0358125 | 2.53351e-05 / -2.48962e-05 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.0374754 / -0.0358982 | 0.0358905 / -0.0357606 | -0.112051 / 0.126185 | 0.0375981 / -0.0371721 | 0 / 0 | 0.0502111 / -0.0497162 | -0.00498399 / 0.00919429 | 0.0197579 / -0.0197176 | 0.0732729 / -0.0712385 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0316599 / -0.0316404 | 0.0252024 / -0.0251897 | -0.0490489 / 0.111387 | -0.0443816 / 0.0444309 | 0 / 0 | 0.0205219 / -0.0193878 | 0 / 0 | -0.0581365 / 0.060504 | 0.042122 / -0.0370228 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run3 | 0 / 0 | -0.0772697 / 0.0789205 | -0.0744307 / 0.0751328 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0 / 0 | 0.020402 / -0.0185578 | 0.035332 / -0.0351898 | 0.196027 / -0.11258 | 0.113791 / -0.10253 | 0 / 0 | -3.93665e-05 / 3.91201e-05 | 0 / 0 | 0.0154495 / -0.0154215 | 0.0475396 / -0.0387068 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0 / 0 | 0.0834283 / -0.0812482 | 0.0717224 / -0.0715326 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_FCal_MC23_NonClosure_PreRec | 0 / 0 | 0.0553957 / -0.0536078 | 0.0285166 / -0.0285222 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0.0191034 / -0.0191019 | 4.53197e-07 / -4.44671e-07 | 0.167173 / -0.135132 | 0.0682192 / -0.0681885 | 0 / 0 | 1.02633e-05 / -1.04327e-05 | 0.115938 / -0.115084 | -0.00998396 / 0.00998427 | 0.0285306 / -0.0228811 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | -0.0549157 / 0.0554183 | -0.0115438 / 0.01156 | -0.344321 / 0.373775 | 0.240324 / -0.214802 | 0 / 0 | 0.0375927 / -0.0365856 | 0 / 0 | 0 / 0 | 0.0208573 / -0.0154374 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | -0.0571661 / 0.0589302 | 2.42008e-06 / -2.4455e-06 | 0.0546126 / 0.0312713 | -0.0111866 / 0.0281039 | 0 / 0 | 7.48248e-05 / -7.60543e-05 | -0.0259606 / 0.0384017 | 0.0132929 / -0.0132736 | 1.51344e-05 / -1.54292e-05 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0 / 0 | 0.073503 / -0.0729875 | 0 / 0 | -0.0751835 / 0.110798 | 0.0598265 / -0.055717 | 0 / 0 | 0.0237538 / -0.0229812 | 0 / 0 | -0.0159478 / 0.0159451 | 1.16307e-05 / -1.34609e-05 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_6 | 0 / 0 | 0.063628 / -0.062534 | -2.01857e-06 / 2.02703e-06 | 0.0811769 / -0.0308724 | 0.0190236 / -0.0131219 | 0 / 0 | 0.0370652 / -0.0356629 | 0.0222558 / -0.0165648 | 0.0189784 / -0.0189758 | -8.74562e-06 / 9.31912e-06 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_9 | 0 / 0 | -0.0524097 / 0.052601 | 0 / 0 | -0.0716835 / 0.0746518 | -0.121097 / 0.124783 | 0 / 0 | -0.0301536 / 0.0301637 | 0.0144317 / -0.00844868 | 0.0231872 / -0.0193674 | -7.72531e-06 / 7.85403e-06 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | -0.0103471 / 0.0105088 | 0 / 0 | -0.082468 / 0.101113 | 0.0322362 / -0.0270903 | 0 / 0 | -1.95973e-05 / 2.02189e-05 | 0.0759905 / -0.0736679 | -0.0217972 / 0.0233136 | -0.0219131 / 0.0250975 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0.0539374 / -0.0533758 | 0 / 0 | 0.0870695 / -0.0419973 | -0.102836 / 0.102905 | 0 / 0 | -0.016668 / 0.0170983 | -0.0353611 / 0.0353603 | -0.0500789 / 0.050076 | 0.029005 / -0.024284 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | -0.0267145 / 0.0287546 | 0 / 0 | 0.17282 / -0.135206 | 0.126409 / -0.121014 | 0 / 0 | -0.0237703 / 0.0250641 | -0.0616649 / 0.0618009 | -0.012093 / 0.0120978 | -0.0110474 / 0.0136998 | 0 / 0 | 0 / 0 |
 | JET_JERMC_DataVsMC_MC16 | 0 / 0 | 0.0593138 / -0.0592263 | 0 / 0 | 0.210978 / -0.102836 | 0.15356 / -0.152617 | 0 / 0 | -0.0499128 / 0.0513011 | 0.0498086 / -0.0397271 | -0.132716 / 0.13295 | 0.0269933 / -0.0266437 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_1_run3 | 0 / 0 | 0.0419093 / -0.0419064 | 0 / 0 | 0.0771174 / -0.0771178 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | passHLT_run3 | 0 / 0 | 0.0247885 / -0.0247893 | 0.0247885 / -0.0247893 | 0.0247885 / -0.0247893 | 0.0247885 / -0.0247893 | 0.0247885 / -0.0247893 | 0.0247885 / -0.0247893 | 0.0247885 / -0.0247893 | 0.0247885 / -0.0247893 | 0.0247885 / -0.0247893 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_norm | 0 / 0 | -0.0316726 / 0.0316661 | -0.0314948 / 0.0314883 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | hcc_BR | 0 / 0 | 0 / 0 | 0.0119199 / -0.0119208 | 0 / 0 | 0.0119199 / -0.0119208 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
