 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | pol_CCSR5 | -3.40366e-07 / 3.40366e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | lumi_run3 | 0 / 0 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.0208602 / -0.0208631 | 0.0208602 / -0.0208631 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PRW_DATASF | 0 / 0 | -0.0220744 / 0.0220675 | 0 / 0 | -0.0809065 / 0.0823732 | -0.102748 / 0.10259 | 0 / 0 | 5.95429e-06 / -6.01576e-06 | -0.0339994 / 0.0359096 | 0.0254288 / -0.0254375 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedExp | 0 / 0 | -0.0163748 / 0.0167222 | 0 / 0 | -0.0719386 / -0.232916 | -0.116419 / -0.159889 | 0 / 0 | -0.0462632 / -0.0439378 | -0.106025 / -0.0906475 | 0.0375087 / 0.0662246 | 0.0141778 / 0.0303148 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.040758 / -0.03809 | 0.0196634 / -0.0196664 | -0.0403154 / 0.0441837 | -0.0353277 / 0.0413757 | 0 / 0 | -0.0210773 / 0.0210744 | -0.0776478 / 0.0776204 | -0.0273171 / 0.0273124 | 0.0467815 / -0.0464666 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0251194 / -0.0251104 | 0.0178686 / -0.0178639 | -0.139823 / 0.144149 | 0.0380502 / -0.0315917 | 0 / 0 | 3.0084e-06 / -2.93038e-06 | 0.037563 / -0.0375442 | 0.0201825 / -0.0201765 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.0448017 / -0.0425621 | 0.024637 / -0.0246388 | 0.100529 / -0.089064 | 0.0433863 / -0.0190689 | 0 / 0 | 0.0238238 / -0.023233 | -0.0557211 / 0.05571 | 1.4056e-06 / -1.38779e-06 | 0.0175467 / -0.0175478 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.03648 / -0.0364775 | 0.0315596 / -0.0315576 | 0.128539 / -0.121429 | 0.131464 / -0.131487 | 0 / 0 | 0.0375942 / -0.0375917 | 0.0618386 / -0.0618346 | 0.0454117 / -0.0454084 | 0.0271753 / -0.0260259 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.033367 / 0.0333797 | -0.0180837 / 0.0180879 | -0.0344912 / 0.0352732 | 0.02999 / -0.00743588 | 0 / 0 | -0.0124091 / 0.0129471 | -0.0322243 / 0.0322363 | -0.0308228 / 0.0308339 | -0.0501477 / 0.0503802 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.0586045 / -0.0582694 | 0.0360857 / -0.0359545 | -0.0314298 / 0.0315392 | 0.0978626 / -0.0940115 | 0 / 0 | 1.38012e-06 / -1.39505e-06 | 0.043338 / -0.0431507 | 0.0183269 / -0.0182921 | 0.0284381 / -0.0282807 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0409173 / -0.0408859 | 0.0248351 / -0.0248227 | 0.078923 / -0.0772403 | 0.0465333 / -0.0327522 | 0 / 0 | 1.01404e-05 / -1.05015e-05 | 0.0224895 / -0.0224794 | 0.0604475 / -0.0603842 | 0.0247783 / -0.0232923 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.0384987 / -0.0380721 | 0.0174803 / -0.0174761 | 0.0557476 / -0.0553762 | -0.0302434 / 0.043839 | 0 / 0 | 0.0306045 / -0.0305548 | 0.0359775 / -0.0359614 | -0.0178397 / 0.0178449 | 0.0203375 / -0.0203318 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | 0.0181964 / -0.0175945 | 1.79843e-05 / -1.82648e-05 | 0.0131037 / -0.00748101 | 0.0395644 / -0.032874 | 0 / 0 | 0.0225715 / -0.0225755 | 0 / 0 | 0.0205038 / -0.0205071 | 0.0159881 / -0.0159901 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run3 | 0 / 0 | -0.0683112 / 0.0705203 | -0.07109 / 0.0717348 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0 / 0 | 0.055651 / -0.0523141 | 0.0395528 / -0.0393753 | 0.0157791 / 0.0176334 | -0.0274509 / 0.0275451 | 0 / 0 | 0.0486107 / -0.0478685 | -0.0461076 / 0.0463804 | 0.0377276 / -0.0375655 | 0.036486 / -0.0356448 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0 / 0 | 0.0246402 / -0.0246409 | 2.71026e-05 / -2.76069e-05 | -0.0437363 / 0.04374 | 0.103229 / -0.0970869 | 0 / 0 | 2.53289e-06 / -2.54828e-06 | 0.015293 / -0.0152932 | 0.0311236 / -0.0311252 | 0.0422882 / -0.0396656 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0 / 0 | 0.0679558 / -0.067783 | 0.0732419 / -0.0730447 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | -0.00846296 / 0.0159952 | 4.04342e-06 / -4.07904e-06 | 0.00033928 / 0.0392941 | -0.11924 / 0.15052 | 0 / 0 | -0.0353795 / 0.0355357 | 0.0326749 / -0.0325497 | -0.0148097 / 0.0151183 | -0.012435 / 0.0162315 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | 0.0141639 / -0.0108733 | 8.71239e-06 / -8.6618e-06 | -0.0430965 / 0.0940694 | 0.165712 / -0.133558 | 0 / 0 | -1.5668e-06 / 1.58612e-06 | -0.0799826 / 0.0807491 | -0.0307998 / 0.0309077 | -0.0125645 / 0.0131348 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0 / 0 | -0.0269079 / 0.0269 | -2.29216e-06 / 2.29775e-06 | -0.0268805 / 0.0268727 | -0.0643077 / 0.0739703 | 0 / 0 | 0 / 0 | 0.0534136 / -0.0496366 | 0.0111722 / -0.0111735 | -0.0180604 / 0.0191642 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_5 | 0 / 0 | -0.010595 / 0.0106756 | 0 / 0 | 0.0691751 / -0.032448 | -0.00877474 / 0.0445131 | 0 / 0 | -0.0163086 / 0.0163112 | 0.0229845 / -0.0215863 | -0.0509424 / 0.050964 | -0.0105261 / 0.0122005 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_9 | 0 / 0 | 0.0165386 / -0.0152856 | 0 / 0 | 0.0954605 / -0.0953045 | 0.23043 / -0.211955 | 0 / 0 | 0.0135145 / -0.013512 | -0.030946 / 0.0309566 | 0.0289698 / -0.0289581 | 0.0466309 / -0.042854 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0.0118409 / -0.0118372 | 0 / 0 | 0.123134 / -0.122616 | -0.0648441 / 0.073151 | 0 / 0 | 1.7068e-06 / -1.73237e-06 | 0 / 0 | -0.0132364 / 0.0132406 | 0.030126 / -0.0287133 | 0 / 0 | 0 / 0 |
