 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | pol_BBSR3_run3 | -2.79189e-06 / 2.79189e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | lumi_run3 | 0 / 0 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.0208602 / -0.0208631 | 0.0208602 / -0.0208631 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedME | 0 / 0 | -0.0109705 / 0.0109696 | 0 / 0 | 0 / 0 | -0.0124507 / 0.0124496 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0417943 / 0.0417802 | -0.0100666 / 0.0100658 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedExp | 0 / 0 | -0.0239739 / 0.0256585 | -0.0191185 / 0.0111011 | -0.0167395 / 0.0196508 | -0.0184706 / 0.0140088 | 0 / 0 | -0.0168718 / 0.0121436 | -0.0334246 / 0.0405067 | -0.0607427 / 0.107966 | -0.0220683 / 0.0245023 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.013764 / -0.0137655 | 0.0178537 / -0.0178562 | -0.0747905 / 0.0747644 | 0.0846347 / -0.0577995 | 0 / 0 | 5.35933e-05 / -5.04243e-05 | 0.0382392 / -0.0270456 | 0.111969 / -0.0639753 | 0.000118629 / -0.000120103 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0175588 / -0.0175543 | 0 / 0 | -0.0125874 / 0.0125901 | 0.0837326 / -0.0578169 | 0 / 0 | 0.0224319 / -0.0224136 | 0.0470882 / -0.0470603 | -0.0155344 / 0.0170751 | -0.0308048 / 0.0310305 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.0173207 / -0.0173217 | 0 / 0 | -0.0850446 / 0.0850175 | 0.0896039 / -0.0476589 | 0 / 0 | 8.93407e-05 / -8.96994e-05 | -0.0249264 / 0.0270655 | 0.0393202 / 0.0256534 | 0.014117 / -0.0137728 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0334283 / -0.0334261 | 0.0485423 / -0.0485388 | 0 / 0 | 0.151727 / -0.0942596 | 0 / 0 | 0.0256155 / -0.0241137 | -0.0217815 / 0.0352513 | 0.146931 / -0.13525 | 0.454135 / -0.0782346 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.020264 / 0.0202691 | -0.0593963 / 0.059429 | 0.0311028 / -0.0310866 | -0.073539 / 0.0764159 | 0 / 0 | -0.0268793 / 0.0268898 | 0.020118 / -0.0201116 | -0.104091 / 0.104151 | -0.0710248 / 0.0741967 | 0 / 0 | 0 / 0 |
