 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | pol_CCSR2 | -7.27715e-07 / 7.27715e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | lumi_run3 | 0 / 0 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.0208602 / -0.0208631 | 0.0208602 / -0.0208631 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PRW_DATASF | 0 / 0 | -0.0110042 / 0.0110026 | 0 / 0 | 0.613259 / -0.302965 | -0.109555 / 0.125841 | 0 / 0 | -0.00931452 / 0.00990961 | -0.13788 / 0.144147 | 0.0356435 / -0.013931 | -0.0237534 / 0.0320864 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedME | 0 / 0 | -0.0113719 / 0.011371 | 0 / 0 | -0.0439287 / 0.0992602 | 0.122213 / -0.120102 | 0 / 0 | -0.0419354 / 0.0419802 | -0.0762776 / 0.0852189 | 0.0821704 / -0.0763994 | -0.0472806 / 0.0519637 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedExp | 0 / 0 | -0.024148 / 0.0286371 | -0.0170824 / 0.020917 | 0.158549 / -0.125031 | 0.389252 / 0.526918 | 0 / 0 | -0.064445 / 0.0436771 | 0.189683 / 0.523239 | 0.0814994 / -0.101044 | -0.167372 / -0.0948738 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0110546 / -0.0110542 | 0.0390267 / -0.0390239 | 0.181756 / -0.033929 | 0.179617 / -0.143939 | 0 / 0 | 0.0227898 / -0.021742 | -0.0335321 / 0.0428092 | -0.0155046 / 0.0208638 | 0.055366 / -0.0503977 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.021537 / -0.0214892 | 0.0498887 / -0.0496428 | 0.263012 / -0.0857424 | -0.047654 / 0.0610986 | 0 / 0 | 0.0334768 / -0.0326044 | 0.173695 / -0.164776 | 0.0128968 / -0.00616569 | 0.0248115 / -0.0233952 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0219091 / -0.0218995 | 0.0326398 / -0.0326192 | 0.232031 / -0.135903 | 0.111176 / -0.110624 | 0 / 0 | 1.26598e-05 / -1.24001e-05 | 0.062864 / -0.0541269 | 0.0855942 / -0.0616319 | 0.0266996 / -0.0266855 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | 0.0104617 / -0.00826324 | -4.55959e-06 / 4.60557e-06 | 0.580805 / -0.0615158 | 0.0758625 / -0.0538895 | 0 / 0 | 0.0132212 / -0.012847 | -0.00918083 / 0.0176019 | 0.0446606 / -0.0372696 | 0.0189184 / -0.0163828 | 0 / 0 | 0 / 0 |
