 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | pol_CCSR3 | -3.33067e-16 / 4.44089e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | lumi_run3 | 0 / 0 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.021 / -0.021 | 0.021 / -0.021 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedExp | 0 / 0 | -0.0132538 / 0.0129533 | -0.0162509 / 0.0188008 | -0.344404 / -0.180225 | -0.275836 / 0.148518 | 0 / 0 | 0.0471527 / -0.0147638 | -0.138754 / 0.0944824 | -0.0304139 / 0.00016758 | 0.0849532 / 0.131236 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0307484 / -0.0307484 | 0.0153965 / -0.0153965 | 0.093721 / 0.00111664 | 0.037236 / -0.037236 | 0 / 0 | 0.0523493 / -0.0523493 | 0.0719612 / -0.0348522 | 0.0666688 / -0.0523757 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | 0.0151538 / -0.0151538 | -0.0203628 / 0.0203628 | -0.187327 / 0.283788 | 0.25435 / -0.237952 | 0 / 0 | -0.0407051 / 0.0418233 | 0.0361588 / 0.015426 | 0.0346091 / -0.0346091 | -0.055511 / 0.0686738 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | -0.0228261 / 0.0244678 | 0.044051 / -0.044051 | -0.0535965 / 0.0535965 | 0.0825368 / -0.0825369 | 0 / 0 | -0.0165434 / 0.0172447 | 0.00711978 / 0.039044 | -0.00723566 / 0.0147371 | 0.0747889 / -0.0729074 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0 / 0 | 0.0126701 / -0.0126701 | 0 / 0 | -0.150203 / 0.184187 | 0.187801 / -0.187801 | 0 / 0 | -0.0256558 / 0.0264184 | -0.0338347 / 0.0499599 | -0.00500964 / 0.017517 | 0.0527156 / -0.0434257 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling3 | 0 / 0 | -0.0110701 / 0.0110701 | 0 / 2.22045e-16 | 0.290031 / -0.276593 | -0.00540823 / 0.0169463 | 0 / 0 | -0.0299489 / 0.0312027 | 0 / 0 | 0.035034 / -0.0292046 | 0.0112116 / -0.0112116 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.0284232 / -0.0284232 | 0.0159871 / -0.0159871 | -0.0270312 / 0.138092 | 0.136254 / -0.0980014 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0.0249014 / -0.02104 | 0.0788671 / -0.0633434 | -0.0400352 / 0.0547046 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | 0 / 0 | -0.0151734 / 0.0151734 | -2.22045e-16 / -3.33067e-16 | 0.288291 / -0.182622 | 0.0376002 / -0.0320019 | 0 / 0 | 0.0188908 / -0.0171409 | 0 / 0 | 0 / 0 | 0.0635882 / -0.0579861 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0 / 0 | 0.0151734 / -0.0151734 | -2.22045e-16 / 0 | 0.0931683 / -0.0455669 | -0.0658315 / 0.0658315 | 0 / 0 | -0.0155486 / 0.0155486 | 0.0162961 / -0.00722756 | 0.0480546 / -0.0255358 | 0.0123921 / -0.00424928 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | 0.0247679 / -0.0247679 | 0 / -2.22045e-16 | -0.106403 / 0.276543 | -0.204165 / 0.204165 | 0 / 0 | -0.0131298 / 0.0149931 | 0.0120435 / 0.00760843 | -0.128594 / 0.128594 | 4.44089e-16 / -3.33067e-16 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run3 | 0 / 0 | -0.0650931 / 0.0689976 | -0.0878607 / 0.0878607 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0 / 0 | 0.0376008 / -0.0376008 | 0.0285099 / -0.0285099 | 0.0632816 / -0.00361047 | -0.0839432 / 0.0970098 | 0 / 0 | 0.0299235 / -0.0291836 | 0.100069 / -0.0784294 | 0.134242 / -0.121833 | 2.22045e-16 / 8.88178e-16 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0 / 0 | 0.0327684 / -0.0327684 | 0 / 0 | 0.272696 / -0.16509 | -0.0540405 / 0.0540405 | 0 / 0 | 0.0162592 / -0.0162592 | -0.0334356 / 0.045971 | -0.0427546 / 0.0500233 | 0.014052 / -0.0107352 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0 / 0 | 0.0343901 / -0.0300976 | 0.0738555 / -0.0738555 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_FCal_MC23_NonClosure_PreRec | 0 / 0 | -0.0226024 / 0.0242441 | 0.0273901 / -0.0273901 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | -0.0171404 / 0.0199065 | 0 / 2.22045e-16 | -0.346328 / 0.369979 | 0.297279 / -0.288552 | 0 / 0 | 0 / 0 | -0.121619 / 0.123608 | 0.0550046 / -0.0454638 | -0.0987548 / 0.0994215 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | -0.0106051 / 0.016967 | -0.0133188 / 0.0133996 | -0.223334 / 0.231065 | 0.264553 / -0.262011 | 0 / 0 | -1.22125e-15 / 2.22045e-16 | 0.0647052 / -0.0294406 | 0.0483615 / -0.0483615 | -0.069117 / 0.0784278 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0 / 0 | -0.010448 / 0.010448 | 0 / 0 | 0.109272 / -0.0939292 | 0.0858269 / -0.0858269 | 0 / 0 | 0.0109916 / -0.0109917 | 0.110361 / -0.0783803 | 0 / 0 | 0.0207196 / -0.0186377 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_7 | 0 / 0 | 0.043236 / -0.043236 | 0 / 0 | -0.224139 / 0.318179 | -0.159486 / 0.159486 | 0 / 0 | 0.0418812 / -0.0418487 | -0.0326976 / 0.0712206 | 0.0557277 / -0.0555415 | -0.0483708 / 0.0538379 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_9 | 0 / 0 | 0.0238934 / -0.0238934 | 0 / 0 | 0.365318 / -0.341976 | -0.150901 / 0.150901 | 0 / 0 | 0.0337703 / -0.0335974 | 0.0947424 / -0.0586226 | -0.0373981 / 0.0373981 | -0.086162 / 0.0865376 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0.0147544 / -0.0147544 | 0 / 0 | 0.35638 / -0.309939 | 0.523621 / -0.497929 | 0 / 0 | -0.018335 / 0.0188122 | 0.0689364 / -0.0500665 | -0.0146961 / 0.0284405 | 0.0309558 / -0.0221287 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | -0.0351169 / 0.0351169 | 0 / 0 | 0.223104 / -0.126537 | -0.15629 / 0.15629 | 0 / 0 | 0.0466419 / -0.0445051 | 0.00461675 / 0.0339909 | 0.00608001 / 0.0103129 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 |
 | JET_JERMC_DataVsMC_MC16 | 0 / 0 | -0.0358577 / 0.0358577 | 0 / 0 | 0.0344495 / -0.0207287 | -0.131952 / 0.131952 | 0 / 0 | -0.0109155 / 0.011421 | 0.0197543 / 0.00011782 | 0.159738 / -0.139816 | 0.0730495 / -0.0659254 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_1_run3 | 0 / 0 | 0.040897 / -0.040897 | 0 / 0 | 0.0588365 / -0.0588366 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | passHLT_run3 | 0 / 0 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_norm | 0 / 0 | -0.03114 / 0.03114 | -0.0306782 / 0.0306782 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | hcc_BR | 0 / 0 | 0 / 0 | 0.012 / -0.012 | 0 / 0 | 0.012 / -0.012 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0 / 0 | 0.0104125 / -0.0104125 | 0.029807 / 0.0215945 | -0.226761 / 0.232359 | 0 / 0 | 0.045442 / -0.0432798 | 0.0769312 / -0.042875 | 0 / 0 | 0 / 6.66134e-16 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0 / 0 | 0.0138053 / -0.0138053 | 0.0409631 / 0.048112 | 0.0543076 / -0.0352785 | 0 / 0 | 0.0535049 / -0.0505733 | 0.0382103 / -0.0357425 | 0.0839349 / -0.0672655 | -0.00914381 / 0.0132378 | 0 / 0 | 0 / 0 |
