 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_18      | bias_18 |
 | pol_CCSR5 | -6.52729e-07 / 6.52729e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.0208602 / -0.0208631 | 0.0208602 / -0.0208631 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PRW_DATASF | 0 / 0 | -0.0218444 / 0.0218377 | -0.00989533 / 0.00989401 | 0.0728713 / 0.0105509 | -0.0471314 / 0.0470996 | 0 / 0 | -3.29633e-06 / 4.10493e-06 | 0.0411307 / -0.0327242 | -0.0376476 / 0.0376274 | -0.0163553 / 0.0191811 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedME | 0 / 0 | -0.0101859 / 0.0101852 | 0 / 0 | -0.110153 / 0.152052 | 0.0386761 / -0.0386843 | 0 / 0 | 0.0101111 / -0.00882072 | 0.0554559 / -0.0554711 | -0.0110368 / 0.0110359 | -4.44783e-06 / 7.50513e-06 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedExp | 0 / 0 | -0.0226615 / 0.0259076 | 0 / 0 | -0.175537 / 0.263363 | -0.173441 / 0.0548378 | 0 / 0 | -0.0739889 / -0.038529 | -0.104604 / -0.0195977 | -0.0519492 / 0.0307726 | 0.0160553 / 0.018138 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0114181 / -0.0114153 | 0.0155462 / -0.0155413 | 0.110733 / -0.0931467 | 0.130506 / -0.110332 | 0 / 0 | 0.0307145 / -0.0269323 | 0.0335145 / -0.0322784 | -0.0180935 / 0.018101 | 0.0273043 / -0.0269725 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.0233041 / -0.0232968 | 0.0130974 / -0.013095 | 0.117327 / -0.0943989 | -0.0964455 / 0.0966529 | 0 / 0 | 0.0310659 / -0.030908 | 0.0217716 / -0.0217652 | 0.0321442 / -0.0321311 | 0.0710068 / -0.057024 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | 0 / 0 | -0.011941 / 0.0119405 | 0 / 0 | 0 / 0 | 0.0527495 / -0.0443841 | 0 / 0 | 0.0223213 / -0.0206589 | -0.0204479 / 0.0204462 | 0.0113628 / -0.0113632 | 0.0316151 / -0.0280648 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0 / 0 | 0.0117985 / -0.0117996 | 1.76066e-06 / -1.7627e-06 | -0.000163889 / 0.0160237 | 0.0439839 / -0.0388421 | 0 / 0 | -0.0241792 / 0.0242746 | 0.0158317 / -0.0148983 | 0.0127059 / -0.0127071 | 1.25114e-05 / -1.25567e-05 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run2 | 0 / 0 | 0.0244316 / -0.0244366 | 0.0140683 / -0.0140698 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0 / 0 | 0.0650889 / -0.0622037 | 0.028765 / -0.0286695 | 0.0168659 / -0.00233013 | 0.0162928 / -0.0101445 | 0 / 0 | 0.01168 / -0.0115664 | 0.0503717 / -0.0469242 | 0.0321316 / -0.0320131 | 0.0394249 / -0.0375844 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | -0.0268727 / 0.026874 | -1.013e-05 / 1.00707e-05 | 0.203782 / 0.0034835 | 0.0997165 / -0.0996349 | 0 / 0 | 0.0245253 / -0.0235391 | -0.0808317 / 0.0808245 | 0 / 0 | 0.0435619 / -0.0366378 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0.0270361 / -0.02695 | -0.0177328 / 0.0177715 | -0.0121807 / 0.0200479 | 0.0169114 / 0.00273164 | 0 / 0 | -0.0138073 / 0.0145096 | 0.0381239 / -0.0263625 | -0.0166023 / 0.0166362 | -0.00891557 / 0.0114206 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | 0.0345805 / -0.0344538 | -0.0161558 / 0.0161849 | 0.00159622 / 0.0249521 | 0.106351 / -0.103082 | 0 / 0 | 9.20253e-06 / -9.33851e-06 | -0.019178 / 0.0192194 | -3.50853e-08 / 3.55683e-08 | -0.00808932 / 0.0163336 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0 / 0 | -0.0239241 / 0.023918 | 1.06355e-05 / -1.04276e-05 | 0.192293 / -0.0633331 | -0.115241 / 0.122313 | 0 / 0 | 0.0388252 / -0.0378754 | 0.0208193 / -0.0208236 | -5.69219e-08 / 5.60749e-08 | 1.32761e-05 / -1.3601e-05 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_4 | 0 / 0 | 0.0476853 / -0.0476224 | -0.0116262 / 0.0116301 | 0.0248204 / -0.0172385 | 0.0729264 / -0.0727807 | 0 / 0 | -0.0561554 / 0.0569904 | -0.0556379 / 0.0559201 | 0.0393686 / -0.0393255 | 0.01277 / -0.00930648 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_6 | 0 / 0 | -0.0225555 / 0.0225581 | -1.61967e-06 / 1.6272e-06 | -0.0311317 / 0.0411514 | -0.134632 / 0.142496 | 0 / 0 | 0.0331629 / -0.0313033 | 0.0954245 / -0.0944351 | 8.96465e-08 / -9.22586e-08 | -0.0290696 / 0.0384524 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_7 | 0 / 0 | -0.0150395 / 0.015041 | 0 / 0 | 0.115383 / -0.0256906 | 0.0125899 / -0.00306438 | 0 / 0 | -2.4557e-05 / 2.52606e-05 | 0.0746729 / -0.0742913 | 0.0385501 / -0.0385386 | -0.00572547 / 0.013675 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_8 | 0 / 0 | -0.0262153 / 0.0262752 | 0 / 0 | -0.0210018 / 0.0636814 | 0.15346 / -0.142521 | 0 / 0 | 0.0595797 / -0.0586168 | -0.0675482 / 0.0743435 | 0.0524002 / -0.0511473 | -0.0290165 / 0.0340157 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_9 | 0 / 0 | 0.021346 / -0.0213398 | 0 / 0 | -0.0292911 / 0.0539256 | -0.0262265 / 0.0262342 | 0 / 0 | -0.0459089 / 0.046674 | -0.0466967 / 0.0512556 | -6.36028e-08 / 5.89463e-08 | 1.11213e-05 / -9.46054e-06 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | -0.0469305 / 0.0469282 | 0 / 0 | -0.151369 / 0.207665 | -0.0695835 / 0.0695745 | 0 / 0 | 0.0318188 / -0.031569 | 0.0826755 / -0.0826521 | -0.0191262 / 0.020577 | 1.85114e-06 / -1.01652e-06 | 0 / 0 | 0 / 0 |
