 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_18      | bias_18 |
 | pol_CCSR4 | -8.66629e-07 / 8.66629e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.0208602 / -0.0208631 | 0.0208602 / -0.0208631 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedExp | 0 / 0 | -0.0146157 / 0.011318 | -0.0143222 / 0.0151262 | 0.728695 / 0.446964 | -0.0482897 / -0.152907 | 0 / 0 | 0.0657502 / 0.105158 | 0.121128 / -0.0367586 | -0.0442095 / 0.105625 | -0.0533624 / -0.0226706 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0124846 / -0.0124858 | 3.74879e-05 / -3.80887e-05 | 0.0310409 / -0.0138289 | 0.0335269 / -0.026253 | 0 / 0 | 0.0104052 / -0.00925405 | -0.0781247 / 0.0809734 | -0.0389831 / 0.0389742 | -2.60465e-05 / 2.76199e-05 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0113353 / -0.0113333 | 0.0136911 / -0.0136884 | 0.229167 / -0.0829118 | 0.119976 / -0.119876 | 0 / 0 | 0 / 0 | 0.110469 / -0.104595 | 0.0208689 / -0.0208625 | -0.0226648 / 0.0284787 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0103693 / -0.010367 | 0.015275 / -0.0152702 | -0.0181546 / 0.0203511 | -0.095626 / 0.0958894 | 0 / 0 | -0.0146665 / 0.015984 | 0.177257 / -0.175685 | 0.0494308 / -0.0493865 | 0.0416885 / -0.0362906 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | 0.0147962 / -0.0147978 | 2.58911e-05 / -2.61272e-05 | 0.056891 / -0.032632 | -0.184368 / 0.184282 | 0 / 0 | 0.0322421 / -0.0317194 | 0.0207623 / -0.0161101 | -0.0141607 / 0.0156074 | 0.0139021 / -0.0107282 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run2 | 0 / 0 | 0.0101312 / -0.010132 | 3.84507e-05 / -3.91961e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0 / 0 | 0.0319664 / -0.031849 | 0.0285586 / -0.0284635 | -0.0329088 / 0.0565955 | 0.0187534 / -0.0180719 | 0 / 0 | 0.0520789 / -0.0508237 | 0 / 0 | 0.0564831 / -0.0466596 | 0.0137843 / -0.0117084 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0 / 0 | 0.016354 / -0.0163542 | 1.52458e-05 / -1.54998e-05 | -0.0844048 / 0.126474 | 0.109048 / -0.109113 | 0 / 0 | -5.74152e-05 / 5.65632e-05 | 0.0196809 / -0.0145831 | 0.0512908 / -0.0512977 | 0.0261221 / -0.0220768 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0.0431638 / -0.0431538 | -6.19757e-06 / 6.18645e-06 | 0.171822 / -0.115309 | -0.0439991 / 0.0521497 | 0 / 0 | 0 / 0 | 0.0137344 / -0.0136105 | 0 / 0 | 0.0286287 / -0.0267048 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | -0.0315306 / 0.0316545 | -0.0185092 / 0.0186499 | 0.147054 / -0.137967 | -0.138174 / 0.140798 | 0 / 0 | -0.0569366 / 0.05826 | -0.090863 / 0.0942642 | 0.051899 / -0.0481304 | -0.0552779 / 0.0661727 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | -0.0203875 / 0.0204342 | -0.0121137 / 0.0121301 | -0.0316156 / 0.0550902 | 0.101204 / -0.0994727 | 0 / 0 | -0.0408405 / 0.0421409 | -0.188285 / 0.210945 | -0.024372 / 0.0335719 | 0.0581843 / -0.0553413 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0 / 0 | 0.0166271 / -0.0166298 | -6.2442e-07 / 6.27181e-07 | 0.0107949 / -0.0053177 | 0.0526842 / -0.0527104 | 0 / 0 | 0 / 0 | -0.0246799 / 0.0301078 | 0.113409 / -0.108503 | 0.00398207 / 0.0151739 | 0 / 0 | 0 / 0 |
