 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_18      | bias_18 |
 | pol_CCSR3 | -1.25662e-06 / 1.25662e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.0208602 / -0.0208631 | 0.0208602 / -0.0208631 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PRW_DATASF | 0 / 0 | -0.0120791 / 0.0120771 | 0 / 0 | 0.0311315 / 0.0676213 | 0.0299975 / -0.0300096 | 0 / 0 | -4.41008e-06 / 4.48006e-06 | -0.0303726 / 0.0463427 | -0.0569557 / 0.106505 | 0.0779638 / -0.0718683 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedExp | 0 / 0 | -0.0160148 / 0.0182046 | -0.0166415 / 0.0157115 | -0.138187 / -0.194969 | 0.0112337 / -0.192066 | 0 / 0 | -0.0120548 / -0.0842584 | -0.258215 / -0.107215 | 0.460557 / 0.767789 | 0.169812 / 0.274801 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0275362 / -0.0275423 | 0.017142 / -0.0171443 | -0.120395 / 0.12035 | 0.096577 / -0.0648612 | 0 / 0 | -0.0282901 / 0.0299905 | 0.0697721 / -0.0500805 | -0.0419679 / 0.0640186 | 0.0202666 / -0.00574761 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0299634 / -0.029951 | 0.0140388 / -0.0140359 | -0.0478857 / 0.0561534 | 0.0586063 / -0.0219899 | 0 / 0 | 0.0316109 / -0.0298623 | 0 / 0 | 0.109756 / -0.0857901 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | -0.0336152 / 0.03362 | 0 / 0 | 0.205119 / -0.105987 | 0.133204 / -0.0994666 | 0 / 0 | -0.049274 / 0.0514614 | 0.0496845 / -0.0177133 | -0.07835 / 0.118156 | 0.0660515 / -0.0456165 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0 / 0 | 0.010569 / -0.0105698 | 0 / 0 | 0.247666 / -0.137261 | -0.0654325 / 0.0653985 | 0 / 0 | -0.0132481 / 0.0148991 | -0.0643922 / 0.0735225 | 0.0730829 / -0.0314247 | 0.0698458 / -0.0575208 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0195936 / -0.0195858 | 0.0180999 / -0.0180934 | 0.159857 / -0.0137047 | -0.156178 / 0.156992 | 0 / 0 | -4.77254e-06 / 4.63682e-06 | 0.0157903 / -0.00707412 | 0.0678238 / -0.0282644 | 0.0175884 / -0.0173476 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.0216537 / -0.0216473 | 0.0166404 / -0.0166366 | -0.0565557 / 0.0566175 | -0.0189227 / 0.0386538 | 0 / 0 | -0.0231698 / 0.0251681 | 0.0235382 / -0.00118627 | 0.0162984 / 0.000802021 | -0.00412939 / 0.0124382 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | 0 / 0 | -0.0109523 / 0.0109518 | 1.59302e-06 / -1.57796e-06 | 0.0592918 / 0.0852029 | 0.0624044 / -0.00454919 | 0 / 0 | -0.0158208 / 0.0184108 | -0.0458998 / 0.0767052 | 0.0404892 / -0.0201912 | -0.0179615 / 0.0216116 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | 0.0332383 / -0.0332473 | 3.09929e-06 / -3.15884e-06 | 0.11553 / -0.0883148 | 0.125669 / -0.120398 | 0 / 0 | 0.0187498 / -0.0176782 | 0.0936806 / -0.0710311 | 0.141164 / -0.072997 | 0.0168296 / -0.0120971 | 0 / 0 | 0 / 0 |
