 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | PRW_DATASF | 0 / 0 | -2.34063e-06 / 2.29457e-06 | 0.0295323 / -0.029544 | 0.172863 / -0.173219 | 0.0105056 / -0.0105071 | 0 / 0 | 0 / 0 | 0.116165 / -0.116334 | 0.119824 / -0.120003 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | 0 / 0 | -1.44797e-05 / 1.4322e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0 / 0 | 2.15784e-05 / -2.19174e-05 | 0 / 0 | 0 / 0 | -3.59292e-06 / 0.0133763 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | 5.12606e-05 / -5.14331e-05 | 0.0141015 / -0.014103 | 0.00182715 / 0.0982068 | 0.123242 / -0.110046 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0 / 0 | 0.000244589 / -0.000249354 | 0.0139668 / -0.00266086 | -0.0277301 / 0.110924 | 0.120804 / -0.0899627 | 0 / 0 | 0 / 0 | 0.132524 / -0.0910864 | 0.0103332 / -0.0102634 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0 / 0 | 6.52963e-05 / -6.55648e-05 | -0.0245845 / 0.0245851 | 0.00316939 / 0.0958482 | 0.12325 / -0.107105 | 0 / 0 | 0 / 0 | 0.0512935 / -0.0509662 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | 3.43861e-05 / -3.41956e-05 | -0.00730778 / 0.0455576 | 0.0979219 / -0.0260897 | -0.226443 / 0.387483 | 0 / 0 | -0.0348318 / 0.0381193 | -0.0748015 / 0.333354 | -0.971144 / 1.37438 | -0.0585857 / 0.0607972 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0 / 0 | -2.09024e-05 / 2.06887e-05 | -0.0207365 / 0.0207319 | -0.271635 / 0.270505 | 0.172858 / -0.173078 | 0 / 0 | -0.0102303 / 0.0102292 | -0.0195143 / 0.0240673 | -0.225119 / 0.225454 | 0.0126248 / -0.0126264 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_5 | 0 / 0 | -3.8927e-06 / 3.88012e-06 | -0.0404699 / 0.0404842 | 0.312887 / -0.31069 | 0.170692 / -0.170202 | 0 / 0 | -0.0259561 / 0.0259626 | 0.242026 / -0.240862 | 0.500809 / -0.492454 | 0.0360475 / -0.0355348 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_mBB | 0 / 0 | 3.27629e-05 / -3.27629e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_pT_balance | 0 / 0 | -2.90412e-05 / 2.90412e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | hcc_BR | 0 / 0 | 0 / 0 | 0.0119199 / -0.0119208 | 0 / 0 | 0.0119199 / -0.0119208 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_4 | 0 / 0 | 0 / 0 | 0.0166683 / -0.0166605 | 0.112177 / -0.111837 | 0.059258 / -0.0591611 | 0 / 0 | 0.0174932 / -0.0174702 | 0.22393 / -0.217586 | -0.955437 / 1.01151 | -0.0468588 / 0.0469222 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_7 | 0 / 0 | 0 / 0 | -0.013232 / 0.0132332 | -0.0645451 / 0.0645661 | 0 / 0 | 0 / 0 | -0.0211461 / 0.0211489 | -0.0811652 / 0.0812109 | 0.474886 / -0.470324 | 0.0105163 / -0.00995016 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_8 | 0 / 0 | 0 / 0 | 0.0664466 / -0.0664421 | 0.0953544 / -0.0953439 | -0.000263579 / 0.0710028 | 0 / 0 | -0.025787 / 0.0257874 | 0.0533252 / -0.000128676 | 0.480756 / -0.480023 | 0.0226672 / -0.0220494 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_9 | 0 / 0 | 0 / 0 | 0.00941777 / 0.0159402 | -0.059434 / 0.0594682 | -0.00137597 / 0.08367 | 0 / 0 | 0 / 0 | 0.011956 / 0.0434385 | -0.0130348 / 0.0130368 | -0.0289159 / 0.0293545 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | -0.0444444 / 0.0444867 | 0 / 0 | -0.00594495 / 0.0810588 | 0 / 0 | 0.016126 / -0.0161191 | -0.110254 / 0.110466 | 0.489041 / -0.473548 | -0.0147405 / 0.0147456 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | 0.075379 / -0.0725281 | 0.0594574 / -0.0594482 | 0.0765088 / -0.0455909 | 0 / 0 | 0 / 0 | -0.0686959 / 0.0686873 | 0.238171 / -0.236797 | 0.0349306 / -0.0343697 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | 0.0147313 / 0.0286512 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0105658 / -0.0105621 | -0.114734 / 0.171369 | -0.730706 / 0.775485 | -0.0361412 / 0.0367699 | 0 / 0 | 0 / 0 |
 | JET_JERMC_DataVsMC_MC16 | 0 / 0 | 0 / 0 | 0.0901161 / -0.0898992 | 0.0594768 / -0.0593888 | 0.339012 / -0.334227 | 0 / 0 | 0 / 0 | 0.141657 / -0.14106 | 0.784966 / -0.740138 | 0.0435747 / -0.0435293 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_C_0_run3 | 0 / 0 | 0 / 0 | -0.0181259 / 0.0181237 | 0 / 0 | -0.0621066 / 0.0620808 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0387579 / 0.0387479 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_C_1_run3 | 0 / 0 | 0 / 0 | -0.0601557 / 0.0601568 | 0 / 0 | -0.125272 / 0.125301 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0703121 / 0.0703147 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_C_2_run3 | 0 / 0 | 0 / 0 | 0.0138851 / -0.0138863 | 0 / 0 | 0.0184745 / -0.0184767 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0185826 / -0.0185849 | 0 / 0 | 0 / 0 |
 | PDF90401_vbfhcc_2223 | 0 / 0 | 0 / 0 | 0.0310838 / -0.0310902 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90402_vbfhcc_2223 | 0 / 0 | 0 / 0 | -0.0167471 / 0.0167452 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90406_vbfhcc_2223 | 0 / 0 | 0 / 0 | 0.0302223 / -0.0302284 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
