 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | lumi_run3 | 0 / 0 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.0208602 / -0.0208631 | 0.0208602 / -0.0208631 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedExp | 0 / 0 | 0.0100557 / -0.0118042 | 0 / 0 | 0 / 0 | 0.0218378 / -0.0307659 | 0 / 0 | 0.0186257 / -0.0178412 | 0 / 0 | -7.60959e-08 / 6.72323e-08 | 0.0217088 / -0.0201205 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0404171 / -0.0404311 | 0.0394803 / -0.0394936 | 0.031181 / -0.0311891 | 0.0320707 / -0.0320793 | 0 / 0 | 0.0338439 / -0.0338534 | 0.0352565 / -0.0352669 | 0.0427891 / -0.0428049 | 0.0137515 / -0.013753 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0147338 / -0.0147305 | 0.0264005 / -0.0263907 | 0.0180337 / -0.0180289 | 0.0110821 / 0.00402338 | 0 / 0 | 0.0120755 / -0.0120733 | 0.0231115 / -0.0231038 | 0.0256776 / -0.0256683 | 0.0187463 / -0.018741 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.0488289 / -0.0488362 | 0.0412406 / -0.0406895 | 0.0379876 / -0.0379921 | 0.0375068 / -0.0214615 | 0 / 0 | 0.040152 / -0.0401569 | 0.0454175 / -0.0454238 | 0.0519723 / -0.0519805 | 0.0410215 / -0.0410267 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0495879 / -0.0495842 | 0.0302072 / -0.0296509 | 0.0461295 / -0.0461261 | 0.0409583 / -0.0409553 | 0 / 0 | 0.0343401 / -0.0343378 | 0.0547546 / -0.0547508 | 0.0568197 / -0.0568158 | 0.0120996 / -0.0120993 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.0244616 / 0.0244689 | -0.0116339 / 0.0116357 | -0.0324039 / 0.032416 | -0.0140505 / 0.0140531 | 0 / 0 | -0.0169744 / 0.0169781 | -0.0313804 / 0.0313919 | -0.0286372 / 0.0286469 | -0.0102642 / 0.0102656 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.0578899 / -0.0575626 | 0.0387573 / -0.0386065 | 0.0643659 / -0.0639652 | 0.0743859 / -0.0738588 | 0 / 0 | 0.0374276 / -0.0372866 | 0.0629484 / -0.0625644 | 0.0574079 / -0.0570858 | 0.038054 / -0.0379084 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0300705 / -0.0300528 | 0.0121945 / -0.0121915 | 0.0346738 / -0.0346507 | 0.0338476 / -0.0338255 | 0 / 0 | 0.0221097 / -0.0220999 | 0.042006 / -0.0419729 | 0.0458525 / -0.0458138 | 0.0265832 / -0.0265692 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.0239571 / -0.0239495 | 0.0135138 / -0.0135112 | 0.0194214 / -0.0194162 | 0.027318 / -0.0273082 | 0 / 0 | 0.0186771 / -0.0186724 | 0.0267305 / -0.0267212 | 0.0346427 / -0.0346276 | 0.0216952 / -0.0216889 | 0 / 0 | 0 / 0 |
