 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | pol_BBSR1_run3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | lumi_run3 | 0 / 0 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.021 / -0.021 | 0.021 / -0.021 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0144571 / -0.0144571 | 0.068389 / -0.0390476 | 0.00474661 / 0.0968439 | 0.124653 / -0.10815 | 0 / 0 | 0.0165092 / -0.0165092 | -0.0777086 / 0.0780476 | 0 / 0 | 0.0135891 / -0.0124871 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0159393 / -0.0159393 | 0 / 0 | 0.0904495 / -0.0904496 | 0.0933929 / -0.0799139 | 0 / 0 | 0.0190773 / -0.0174804 | 0.0796189 / -0.0796189 | 0.233366 / 0.000339781 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.0166566 / -0.0166566 | 0.0723529 / -0.0395059 | 0.0904495 / 0.0114203 | 0.0289724 / -0.0107356 | 0 / 0 | 0 / 0 | -0.0992119 / 0.0993716 | -0.235277 / 0.235338 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0528507 / -0.0528507 | 0.148072 / -0.148072 | 0.0644278 / -0.0644277 | 0.0133463 / 0.000127098 | 0 / 0 | 0.03286 / -0.03286 | -0.0162008 / 0.0815814 | -0.0101612 / 0.0104544 | 0.0493778 / -0.0484625 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.0347594 / 0.0347594 | -0.0774802 / 0.0774802 | 0 / 0 | 0 / 0 | 0 / 0 | -0.051312 / 0.0513119 | 0.0625571 / -0.062557 | 0.232803 / -0.231975 | -0.0336673 / 0.0339693 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.0707644 / -0.0707644 | 0.121471 / -0.0906743 | 0 / 0 | -0.0500312 / 0.0527357 | 0 / 0 | 0.0727934 / -0.0727896 | -0.0345441 / 0.0861828 | -0.473817 / 0.475109 | 0.0699755 / -0.0684292 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0486392 / -0.0486392 | 0.0915565 / -0.0915565 | 0.0857133 / 0.0158791 | 0.124653 / -0.121948 | 0 / 0 | 0.0584151 / -0.0584114 | 0.0160915 / -0.00201938 | -0.242534 / 0.243397 | 0.0580516 / -0.0574167 | 0 / 0 | 0 / 0 |
