 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | -0.0179816 / 0.0207458 | 1.98822e-06 / -1.96538e-06 | -0.367703 / 0.414476 | 0.31149 / -0.2943 | 0 / 0 | -1.82306e-05 / 1.38626e-05 | -0.129021 / 0.133255 | 0.0587677 / -0.0489809 | -0.104723 / 0.106842 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | -0.010614 / 0.0167243 | -0.0138254 / 0.0139243 | -0.233241 / 0.248319 | 0.27101 / -0.262735 | 0 / 0 | -4.46723e-06 / 4.50323e-06 | 0.0694263 / -0.0351395 | 0.0500922 / -0.0498309 | -0.0714259 / 0.0809528 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0 / 0 | -0.0103249 / 0.0103238 | 0 / 0 | 0.107851 / -0.0928225 | 0.0848937 / -0.0849577 | 0 / 0 | 0.0108501 / -0.0108514 | 0.108649 / -0.0772167 | 0 / 0 | 0.0204206 / -0.0183713 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_7 | 0 / 0 | 0.0434222 / -0.0434073 | 0 / 0 | -0.225214 / 0.31987 | -0.159417 / 0.159479 | 0 / 0 | 0.0420407 / -0.0419945 | -0.0336209 / 0.0721974 | 0.0559814 / -0.0557699 | -0.0486076 / 0.0540922 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_9 | 0 / 0 | 0.0239349 / -0.023927 | 0 / 0 | 0.371416 / -0.344875 | -0.150058 / 0.150175 | 0 / 0 | 0.0338103 / -0.0336245 | 0.0933495 / -0.0576816 | -0.0373594 / 0.0373744 | -0.0859056 / 0.0863404 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0.0146775 / -0.0146719 | 0 / 0 | 0.360067 / -0.310852 | 0.546123 / -0.503888 | 0 / 0 | -0.0181961 / 0.0186636 | 0.0672241 / -0.0490435 | -0.0156357 / 0.0289018 | 0.0301274 / -0.0216319 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | -0.034896 / 0.0348952 | 0 / 0 | 0.219472 / -0.124385 | -0.154853 / 0.154736 | 0 / 0 | 0.0463782 / -0.0442632 | 0.00342216 / 0.034768 | 0.0055467 / 0.0106629 | 3.98743e-06 / -5.20771e-06 | 0 / 0 | 0 / 0 |
 | JET_JERMC_DataVsMC_MC16 | 0 / 0 | -0.0358665 / 0.0358912 | 0 / 0 | 0.0337464 / -0.0202616 | -0.1313 / 0.13153 | 0 / 0 | -0.0109558 / 0.0114554 | 0.0186149 / 0.000913819 | 0.160303 / -0.140212 | 0.0730981 / -0.0660025 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_1_run3 | 0 / 0 | 0.0404827 / -0.0404798 | 0 / 0 | 0.0581988 / -0.0581958 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | passHLT_run3 | 0 / 0 | 0.0247885 / -0.0247893 | 0.0247885 / -0.0247893 | 0.0247885 / -0.0247893 | 0.0247885 / -0.0247893 | 0.0247885 / -0.0247893 | 0.0247885 / -0.0247893 | 0.0247885 / -0.0247893 | 0.0247885 / -0.0247893 | 0.0247885 / -0.0247893 | 0 / 0 | 0 / 0 |
