 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | pol_CCSR1 | -1.68957e-06 / 1.68957e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | lumi_run3 | 0 / 0 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0 / 0 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0.0198434 / -0.0198447 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.0208602 / -0.0208631 | 0.0208602 / -0.0208631 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PRW_DATASF | 0 / 0 | 0.0117557 / -0.0117575 | -0.0125096 / 0.0125074 | 0.434769 / 0.00154248 | 0.00607994 / 0.0851479 | 0 / 0 | 0.0449742 / -0.0431349 | 0.278675 / -0.25128 | 0.149595 / -0.0886756 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0689857 / -0.0689339 | 0.0120857 / -0.0120837 | 1.09032 / -0.501658 | 0.258795 / -0.171049 | 0 / 0 | 0.0110392 / -0.00917378 | -0.0484509 / 0.0484975 | 0.0432111 / 0.0198504 | -0.139892 / 0.145483 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.0315809 / -0.031584 | 2.46104e-05 / -2.49875e-05 | 0.539598 / 0.00137419 | 0.510739 / -0.414968 | 0 / 0 | 0 / 0 | 0.0551048 / -0.042151 | -0.10238 / 0.192328 | 0.0710572 / -0.0645188 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0220176 / -0.0220164 | 0.0476002 / -0.0475968 | 1.09507 / -0.0260523 | 0.128245 / 0.0891064 | 0 / 0 | 0.0216225 / -0.0216214 | 0.0737331 / -0.0723151 | -0.159017 / 0.161427 | 0.100917 / -0.098184 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.0176592 / 0.0176632 | -0.0332813 / 0.033294 | -0.484461 / 0.477322 | -0.12385 / 0.186502 | 0 / 0 | -0.0571238 / 0.0611961 | 0.0951535 / -0.094954 | -0.110703 / 0.131772 | 0.0268036 / -0.00631707 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.0397661 / -0.0396075 | 0.0666809 / -0.0662524 | 0.334201 / 0.115229 | 0.201834 / -0.138175 | 0 / 0 | 0.137532 / -0.135566 | 0.040919 / -0.0136643 | 0.158797 / -0.0179549 | 0.180121 / -0.176099 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | -0.0162904 / 0.0162965 | 0.0409824 / -0.0409508 | 0.70092 / 0.815458 | -0.0523669 / 0.230675 | 0 / 0 | 0.028066 / -0.0245879 | 0.259321 / -0.258144 | 0.0290538 / -0.0237195 | 0.071129 / -0.069668 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run3 | 0 / 0 | -0.120273 / 0.12198 | -0.0896027 / 0.0905976 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0 / 0 | 0.0178929 / -0.0178932 | 1.4262e-05 / -1.4121e-05 | 1.12462 / -0.0362177 | -0.148333 / 0.148487 | 0 / 0 | -0.0391217 / 0.0400603 | 0.0168199 / 0.0334788 | 0.180929 / -0.0466626 | -0.124288 / 0.124378 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0 / 0 | 0.143583 / -0.121322 | 0.136924 / -0.136387 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_FCal_MC23_NonClosure_PreRec | 0 / 0 | -0.0235968 / 0.0235936 | 0.0498355 / -0.0498538 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
