 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_18      | bias_18 |
 | pol_CCSR1 | -2.0999e-06 / 2.0999e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.0208602 / -0.0208631 | 0.0208602 / -0.0208631 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PRW_DATASF | 0 / 0 | -0.0236815 / 0.0236736 | -0.0182724 / 0.0182678 | -0.249678 / 0.248632 | 0.673148 / -0.362617 | 0 / 0 | -0.0124469 / 0.0181677 | -0.0906544 / 0.217474 | -0.0376833 / 0.0849653 | -0.0122055 / 0.0122034 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.071684 / -0.0560678 | 0.000119901 / -0.000121419 | 1.45029 / 0.461849 | 0.381352 / 0.399096 | 0 / 0 | 0 / 0 | 0.289199 / -0.290678 | -0.0208868 / 0.169741 | 0.0257929 / -0.0234614 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0509812 / -0.0509493 | 0.0170849 / -0.0170806 | 0.189134 / -0.189083 | 0.456322 / -0.191272 | 0 / 0 | 0.0364585 / -0.0312907 | -0.211645 / 0.213105 | -0.0218815 / 0.168028 | 0.0560536 / -0.0560164 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.0546817 / -0.0388378 | 8.2977e-05 / -8.37746e-05 | 0.4291 / -0.195334 | -0.141333 / 0.330157 | 0 / 0 | -0.0579132 / 0.0591618 | 0.0337368 / -0.0337404 | 0.1832 / -0.012652 | 0.0315067 / -0.0315098 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0172778 / -0.0172771 | 9.26961e-06 / -9.35407e-06 | 0.0610794 / 0.188705 | 1.16558 / -0.383799 | 0 / 0 | -0.0232395 / 0.0318646 | -0.123703 / 0.278395 | 0.25042 / -0.0253895 | 0.0191366 / -0.0191357 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.0282781 / 0.0282876 | -0.0163879 / 0.0163914 | 0.625242 / -0.17953 | 0.626225 / -0.00622752 | 0 / 0 | -0.125989 / 0.132304 | 0.272821 / -0.135393 | 0.0653548 / 0.124628 | -0.115707 / 0.115768 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.0660297 / -0.0656091 | 0.0369945 / -0.0368567 | 0.772108 / -0.101581 | 0.724728 / -0.642374 | 0 / 0 | 0.0901992 / -0.0808039 | -0.0281924 / 0.02828 | 0.573251 / -0.166591 | 0.13292 / -0.131386 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0709346 / -0.0554134 | 0.0259818 / -0.0259684 | 0.192035 / -0.191759 | 0.134223 / -0.13401 | 0 / 0 | -0.0454774 / 0.049855 | 0.263999 / -0.104348 | -0.15617 / 0.16453 | 0.061022 / -0.060767 | 0 / 0 | 0 / 0 |
