 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | pol_CCSR4 | 6.66134e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | lumi_run3 | 0 / 0 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.021 / -0.021 | 0.021 / -0.021 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PRW_DATASF | 0 / 0 | -0.0150847 / 0.0151263 | 0 / 0 | -0.0635268 / 0.0776793 | 0.0349606 / -0.0349607 | 0 / 0 | -0.0289536 / 0.0294391 | 0 / 0 | 0 / 0 | 0.0160081 / -0.0103137 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0404836 / -0.0404837 | 0.0326418 / -0.0326419 | -0.00229141 / 0.0430858 | -0.0723416 / 0.0801246 | 0 / 0 | 0.0296649 / -0.029665 | 0.11262 / -0.109428 | 0.0447165 / -0.0447165 | 0.027917 / -0.0251433 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.0212707 / 0.0225319 | -0.0195776 / 0.0195775 | 0.0946805 / -0.0275167 | -0.109566 / 0.109566 | 0 / 0 | -0.0324165 / 0.0331739 | -0.0169213 / 0.0169213 | -0.0366395 / 0.0366395 | -1.11022e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.037681 / -0.0360589 | 0.0361948 / -0.0361949 | -0.112669 / 0.126969 | 0.037899 / -0.0375785 | 0 / 0 | 0.0506885 / -0.0504111 | -0.00533226 / 0.0100976 | 0.0199021 / -0.0199021 | 0.0739928 / -0.0722774 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0318973 / -0.0318973 | 0.0253907 / -0.0253907 | -0.0519143 / 0.116636 | -0.0445482 / 0.0445482 | 0 / 0 | 0.020616 / -0.0194525 | 0 / 0 | -0.0584162 / 0.0607806 | 0.042223 / -0.0369915 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run3 | 0 / 0 | -0.0848141 / 0.0859987 | -0.0820222 / 0.0820222 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0 / 0 | 0.0209045 / -0.0187388 | 0.0365941 / -0.0365941 | 0.196847 / -0.101042 | 0.117508 / -0.105596 | 0 / 0 | 4.44089e-16 / 2.22045e-16 | 0 / 0 | 0.0159445 / -0.0159445 | 0.048471 / -0.0381287 | 0 / 0 | 0 / 0 |
