 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | JET_EffectiveNP_Mixed2 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 2.22045e-16 / -1.11022e-16 | 0 / 0 | 0 / 0 | 4.44089e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | 0 / 2.22045e-16 | 0.0122782 / -0.0122782 | 0 / 2.22045e-16 | 0.0205761 / -0.0205761 | 0 / 0 | 0.011619 / -0.0116189 | 0.0105584 / -0.0105584 | 0.0188725 / -0.0188725 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_mBB | 0 / 0 | 4.44089e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_centralMaxPt | 0 / 0 | -1.11022e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | hcc_BR | 0 / 0 | 0 / 0 | 0.012 / -0.012 | 0 / 0 | 0.012 / -0.012 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PRW_DATASF | 0 / 0 | 0 / 0 | 0.0240739 / -0.024074 | 0 / 0 | -0.036693 / 0.036693 | 0 / 0 | 0 / 0 | 4.44089e-16 / 6.66134e-16 | 0 / 0 | 0.0601603 / -0.0601603 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | -0.0274484 / 0.0274484 | -1.11022e-16 / 2.22045e-16 | -0.0425571 / 0.0425571 | 0 / 0 | 0 / 0 | 0.0103666 / -0.0103666 | -2.22045e-16 / 2.22045e-16 | -0.0325468 / 0.0563041 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | 0 / 0 | -0.0180904 / 0.0180904 | -4.44089e-16 / 2.22045e-16 | -0.0205461 / 0.0206173 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | -0.0500203 / 0.0684914 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0 / 0 | 0 / 0 | 0.0139292 / -0.0139293 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.015021 / -0.015021 | 0 / 0 | 0 / 0 |
