 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_18      | bias_18 |
 | vbf_PDF_aS | 0 / 0 | 0.0208635 / -0.0208663 | 0.0208635 / -0.0208663 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.034656 / -0.0346782 | 0.029433 / -0.029449 | 0.0315792 / -0.0315976 | 0.0169558 / -0.016961 | 0 / 0 | 0.0341832 / -0.0342048 | 0.0276985 / -0.0277125 | 0.027486 / -0.0274999 | 0.037812 / -0.0378387 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0122482 / -0.0122469 | 0.012065 / -0.0120637 | 0.0110807 / -0.0110796 | 0.0211899 / -0.0211862 | 0 / 0 | 2.22045e-16 / -2.22045e-16 | 0.0174871 / -0.0174844 | 0.0157823 / -0.0157802 | 0.0135459 / -0.0135442 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.0223698 / -0.022372 | 0.0199488 / -0.0199506 | 0.0166477 / -0.0166489 | 0.0196082 / -0.0196099 | 0 / 0 | 0.0228584 / -0.0228607 | 0.019051 / -0.0190526 | 0.0168364 / -0.0168377 | 0.0138419 / -0.0138427 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0139016 / -0.013902 | 0.0138268 / -0.0138272 | 0 / -2.22045e-16 | 0.0157107 / -0.0157112 | 0 / 0 | 0.0121843 / -0.0121846 | 0.0127641 / -0.0127645 | 0.0127606 / -0.012761 | 0.0141518 / -0.0141521 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.0256801 / 0.0256859 | -0.0241567 / 0.0241619 | -0.0283103 / 0.0283172 | -0.0227509 / 0.0227556 | 0 / 0 | -0.0180565 / 0.0180596 | -0.0235222 / 0.0235271 | -0.0247672 / 0.0247727 | -0.0258513 / 0.0258572 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.0401878 / -0.0400417 | 0.0480122 / -0.047806 | 0.0353656 / -0.0352517 | 0.0481889 / -0.0479812 | 0 / 0 | 0.0339222 / -0.0338171 | 0.0389309 / -0.0387935 | 0.0434934 / -0.0433231 | 0.0382193 / -0.0380867 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0284342 / -0.0284198 | 0.025923 / -0.0259109 | 0.0251453 / -0.0251338 | 0.0282603 / -0.028246 | 0 / 0 | 0.0250656 / -0.0250542 | 0.025159 / -0.0251476 | 0.0280325 / -0.0280184 | 0.0144635 / -0.0144596 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.0187401 / -0.0187394 | 0.017524 / -0.0175234 | 0.0215865 / -0.0215857 | 0.0298147 / -0.0298137 | 0 / 0 | 0.0259967 / -0.0259958 | 0.0179544 / -0.0179538 | 0.0180611 / -0.0180605 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | 0.0127402 / -0.0127432 | -1.11022e-16 / 2.22045e-16 | 0.0121902 / -0.0121931 | 0.0126526 / -0.0126556 | 0 / 0 | -2.22045e-16 / 2.22045e-16 | 2.22045e-16 / 2.22045e-16 | -2.22045e-16 / -2.22045e-16 | 0 / 4.44089e-16 | 0 / 0 | 0 / 0 |
