 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | pol_BBSR4_run3 | 6.66134e-16 / 4.44089e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | lumi_run3 | 0 / 0 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.021 / -0.021 | 0.021 / -0.021 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedExp | 0 / 0 | -0.0162436 / 0.0148996 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0135305 / 0.0144289 | -0.027231 / 0.0191777 | 0.0161769 / -0.0210264 | -0.0325514 / 0.0490207 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0154999 / -0.0154998 | 0.0307076 / -0.0307076 | -0.0156844 / 0.0156844 | -0.071473 / 0.0725566 | 0 / 0 | 0.0121725 / -0.012162 | 0.0261766 / -0.0245605 | 0.0329088 / -0.0329087 | 0.100657 / -0.100657 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0180464 / -0.0180463 | 0.0142792 / -0.0142792 | 0.015055 / -0.015055 | 0 / 0 | 0 / 0 | 6.66134e-16 / 4.44089e-16 | 0.0275316 / -0.0207325 | 0.113615 / -0.102651 | 0.076268 / -0.076268 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.0202967 / -0.0202947 | 0.0613273 / -0.0613274 | -0.0126053 / 0.0126053 | -0.084028 / 0.0851116 | 0 / 0 | 0.0112171 / -0.0112048 | 0.0142189 / -0.0108904 | 0.000179917 / 0.0560948 | 0.112091 / -0.112091 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0331112 / -0.0331111 | 0.0265047 / -0.0265047 | 0.0584982 / -0.0584982 | 0 / 0 | 0 / 0 | 0.0220057 / -0.0219923 | 0.0321349 / -0.0321349 | -0.067423 / 0.067423 | 0.0453473 / -0.0453473 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.0201638 / 0.0201638 | 0 / 0 | -0.0745354 / 0.0849518 | 0.0452314 / -0.0431284 | 0 / 0 | -0.0161646 / 0.0161646 | -0.070145 / 0.073907 | 0.0999533 / -0.0295908 | 0.0478348 / -0.0478348 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.0361204 / -0.0361205 | 0.0469711 / -0.046971 | 0.142733 / -0.142733 | -0.0410927 / 0.0415179 | 0 / 0 | 0.0317909 / -0.031791 | 0.0957416 / -0.091506 | -0.0405715 / 0.0940519 | -0.0383383 / 0.0383384 | 0 / 0 | 0 / 0 |
