 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | pol_CCSR1 | -4.44089e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | lumi_run3 | 0 / 0 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0 / 0 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.021 / -0.021 | 0.021 / -0.021 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PRW_DATASF | 0 / 0 | 0.0119249 / -0.0119249 | -0.0126921 / 0.0126921 | 0.446814 / -0.00180682 | 0.00700406 / 0.0856103 | 0 / 0 | 0.0456366 / -0.0437424 | 0.282748 / -0.254087 | 0.152387 / -0.0902806 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0702053 / -0.0702052 | 0.0122384 / -0.0122384 | 1.10853 / -0.504339 | 0.260353 / -0.170133 | 0 / 0 | 0.0111037 / -0.0091584 | -0.0489878 / 0.0489878 | 0.0406446 / 0.025222 | -0.140998 / 0.146321 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.0316867 / -0.0316867 | 2.22045e-16 / -2.22045e-16 | 0.544503 / -0.000556523 | 0.512222 / -0.415693 | 0 / 0 | 0 / 0 | 0.0553458 / -0.0423353 | -0.102439 / 0.192732 | 0.0713183 / -0.0647406 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0220855 / -0.0220855 | 0.047769 / -0.047769 | 1.0681 / -0.0019941 | 0.122954 / 0.0961755 | 0 / 0 | 0.021689 / -0.021689 | 0.0740254 / -0.0726029 | -0.158868 / 0.161088 | 0.101369 / -0.0986213 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.0180504 / 0.0180504 | -0.0340503 / 0.0340503 | -0.506239 / 0.50624 | -0.123061 / 0.188454 | 0 / 0 | -0.0582276 / 0.0624769 | 0.0963907 / -0.0963907 | -0.112337 / 0.134324 | 0.0291989 / -0.00750884 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.0401153 / -0.0401153 | 0.0673953 / -0.0673953 | 0.298194 / 0.211693 | 0.200128 / -0.132389 | 0 / 0 | 0.139775 / -0.139398 | 0.0390824 / -0.00840938 | 0.148783 / 0.00872865 | 0.183618 / -0.182029 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | -0.0163735 / 0.0163735 | 0.0412983 / -0.0412983 | 0.616936 / 0.982729 | -0.0599517 / 0.245986 | 0 / 0 | 0.0280989 / -0.0245225 | 0.264685 / -0.263646 | 0.0290029 / -0.0235101 | 0.0717368 / -0.0703183 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run3 | 0 / 0 | -0.13383 / 0.13383 | -0.0989087 / 0.0989087 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0 / 0 | 0.0181122 / -0.0181122 | -2.22045e-16 / 2.22045e-16 | 1.10068 / -0.000654164 | -0.149247 / 0.149247 | 0 / 0 | -0.0395441 / 0.0405033 | 0.0153312 / 0.0361679 | 0.178741 / -0.0419111 | -0.125155 / 0.125155 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0 / 0 | 0.150176 / -0.125682 | 0.145016 / -0.145004 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_FCal_MC23_NonClosure_PreRec | 0 / 0 | -0.0237912 / 0.0237912 | 0.0503224 / -0.0503224 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0.0485878 / -0.0485878 | 0 / 0 | 1.08866 / -0.983036 | 0.172371 / -0.0989552 | 0 / 0 | 0.0609735 / -0.0595374 | 0.229736 / -0.229736 | 0.204726 / -0.112854 | 0.0255269 / -0.0255269 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | -0.124181 / 0.124181 | -0.0147664 / 0.0151174 | 0.202122 / -0.00050071 | -0.125536 / 0.125536 | 0 / 0 | -0.0334579 / 0.0334578 | -0.018865 / 0.0287156 | -0.0993619 / 0.163597 | -0.0676618 / 0.0686515 | 0 / 0 | 0 / 0 |
