 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | lumi_run3 | 0 / 0 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.0208635 / -0.0208663 | 0.0208635 / -0.0208663 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0322796 / -0.0322989 | 0.0402919 / -0.0403222 | 0.0293161 / -0.029332 | 0.0387704 / -0.0387985 | 0 / 0 | 0.0363287 / -0.0363532 | 0.035753 / -0.0357768 | 0.0357981 / -0.035822 | 0.03465 / -0.0346723 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0110019 / -0.0110007 | 0.0176665 / -0.0176639 | 0.0204904 / -0.0204869 | 0.0228733 / -0.0228691 | 0 / 0 | 0.0156291 / -0.015627 | 0.0206622 / -0.0206586 | 0.0219328 / -0.0219289 | 0.0198531 / -0.0198497 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.043223 / -0.0432309 | 0.0499869 / -0.0499973 | 0.02937 / -0.0293736 | 0.0433304 / -0.0433383 | 0 / 0 | 0.0365673 / -0.0365729 | 0.0461088 / -0.0461177 | 0.0448312 / -0.0448397 | 0.0454334 / -0.0454421 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0483098 / -0.0483164 | 0.0555055 / -0.0555148 | 0.0400513 / -0.0400555 | 0.0529637 / -0.0529719 | 0 / 0 | 0.0324137 / -0.0324162 | 0.048207 / -0.0482135 | 0.0518 / -0.0518078 | 0.0371742 / -0.0371777 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.0280458 / 0.0280525 | -0.0290709 / 0.0290781 | -0.0234533 / 0.0234582 | -0.0282523 / 0.0282591 | 0 / 0 | -0.0185657 / 0.0185689 | -0.0298212 / 0.0298287 | -0.0356033 / 0.0356134 | -0.0264553 / 0.0264614 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.0569428 / -0.0566567 | 0.0651898 / -0.0648197 | 0.0648934 / -0.0645265 | 0.0697529 / -0.0693322 | 0 / 0 | 0.0460556 / -0.0458654 | 0.0599791 / -0.0596632 | 0.0704225 / -0.0699941 | 0.0555383 / -0.0552656 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0320711 / -0.032053 | 0.035274 / -0.0352523 | 0.0326865 / -0.0326676 | 0.0418571 / -0.0418273 | 0 / 0 | 0.0308115 / -0.0307946 | 0.0412865 / -0.0412575 | 0.0403165 / -0.0402888 | 0.025592 / -0.0255801 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.0212293 / -0.0212286 | 0.0256511 / -0.0256502 | 0.0146881 / -0.0146876 | 0.0242003 / -0.0241994 | 0 / 0 | 0.0209948 / -0.0209941 | 0.0263696 / -0.0263687 | 0.0272098 / -0.0272089 | 0.0224777 / -0.0224769 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run3 | 0 / 0 | -0.0553608 / 0.0557041 | -0.0531855 / 0.0535035 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0 / 0 | 0.0420574 / -0.0419362 | 0.0456571 / -0.0455153 | 0.0381879 / -0.0380871 | 0.0426119 / -0.0422632 | 0 / 0 | 0.0383152 / -0.0382138 | 0.0499533 / -0.0497853 | 0.0491823 / -0.0490191 | 0.0399622 / -0.0398522 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0 / 0 | 0.0141213 / -0.0141224 | 0.0164446 / -0.0164462 | 0 / -2.22045e-16 | 0.0113836 / -0.0113843 | 0 / 0 | 0.0152129 / -0.0152142 | 0.0154442 / -0.0154456 | 0.0159719 / -0.0159733 | 0.0111104 / -0.011111 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0 / 0 | 0.0864177 / -0.0862876 | 0.0881013 / -0.0879677 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_FCal_MC23_NonClosure_PreRec | 0 / 0 | 0.0278636 / -0.0278692 | 0.0263205 / -0.0263254 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JERMC_DataVsMC_MC16 | 0 / 0 | -0.0165921 / 0.0165966 | 0 / -1.11022e-16 | 0 / 2.22045e-16 | -1.11022e-16 / -3.33067e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_1_run3 | 0 / 0 | 0.0452876 / -0.0452865 | 0 / 0 | 0.06033 / -0.0603307 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | passHLT_run3 | 0 / 0 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0 / 0 | 0 / 0 |
