 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | pol_BBSR4_run3 | -2.05452e-06 / 2.05452e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | lumi_run3 | 0 / 0 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.0208635 / -0.0208663 | 0.0208635 / -0.0208663 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedExp | 0 / 0 | -0.0176669 / 0.0162592 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0148712 / 0.0158607 | -0.0291737 / 0.0206235 | 0.0181281 / -0.0232549 | -0.0366759 / 0.0545498 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0151485 / -0.0151526 | 0.0300493 / -0.0300659 | -0.015369 / 0.0153649 | -0.0701293 / 0.0711065 | 0 / 0 | 0.0118436 / -0.0118361 | 0.02565 / -0.0240826 | 0.0322012 / -0.0322203 | 0.0982913 / -0.0984875 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0177282 / -0.0177254 | 0.0140521 / -0.0140504 | 0.014815 / -0.0148131 | 0 / 0 | 0 / 0 | -5.0718e-05 / 5.18258e-05 | 0.0273843 / -0.0208391 | 0.111766 / -0.101132 | 0.0748042 / -0.074779 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.0201712 / -0.0201707 | 0.0610533 / -0.0610686 | -0.0125461 / 0.0125454 | -0.0836233 / 0.0846666 | 0 / 0 | 0.0110791 / -0.011067 | 0.0141355 / -0.0108241 | -0.000108679 / 0.0561124 | 0.11161 / -0.111657 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0329171 / -0.0329197 | 0.0263597 / -0.0263612 | 0.0581362 / -0.0581466 | 0 / 0 | 0 / 0 | 0.0218469 / -0.0218344 | 0.0319552 / -0.0319576 | -0.0671882 / 0.0671891 | 0.0450802 / -0.0450857 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.0196078 / 0.0196113 | 0 / 0 | -0.0729927 / 0.0828549 | 0.0440107 / -0.0420184 | 0 / 0 | -0.0157235 / 0.0157259 | -0.0682606 / 0.0718351 | 0.0912242 / -0.025584 | 0.0467588 / -0.046726 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.035905 / -0.0357876 | 0.0466471 / -0.0464521 | 0.140738 / -0.139217 | -0.04103 / 0.0415822 | 0 / 0 | 0.0316057 / -0.0315141 | 0.0950648 / -0.0904905 | -0.0372393 / 0.0851195 | -0.0382976 / 0.0384463 | 0 / 0 | 0 / 0 |
