 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | pol_BBSR5_run3 | -1.61985e-06 / 1.61985e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | lumi_run3 | 0 / 0 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.0208635 / -0.0208663 | 0.0208635 / -0.0208663 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0182752 / -0.0182806 | 0.0182074 / -0.0182134 | 0.0182931 / -0.0041364 | 0.0519939 / -0.051192 | 0 / 0 | 0.025259 / -0.0249335 | -0.0318903 / 0.0318733 | 0.00540237 / 0.0247735 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0165589 / -0.0165553 | -0.0163326 / 0.0163355 | 0.050657 / -0.0435847 | 0.0479886 / -0.0479738 | 0 / 0 | 0.0216334 / -0.0213205 | 0.0281338 / -0.0260765 | 0.0462169 / -0.0287185 | -0.014194 / 0.0141962 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.0240643 / -0.0240668 | 0.0213458 / -0.0213477 | 0.0566921 / -0.0422914 | 0.0661405 / -0.0661582 | 0 / 0 | 0.0338362 / -0.0335096 | 0 / 0 | -0.00249199 / 0.0331611 | -0.0125609 / 0.0127833 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0339232 / -0.0339259 | 0.0405591 / -0.0405634 | 0.0908861 / -0.0908604 | 0.0287963 / -0.0287982 | 0 / 0 | 0.0332564 / -0.0326406 | 0.0223248 / -0.0223259 | 0.0323664 / -0.032369 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.0171946 / 0.0171974 | 0.0121452 / -0.0121434 | -0.022073 / 0.0262096 | 0 / 0 | 0 / 0 | -0.0237397 / 0.0237451 | 0 / 0 | 0.0477139 / -0.0362959 | 0.0250845 / -0.0250762 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.0349078 / -0.0347914 | 0.0285432 / -0.0284682 | 0.0165849 / -0.0115787 | 0 / 0 | 0 / 0 | 0.0294938 / -0.0291539 | -0.0104099 / 0.0104205 | -0.0346185 / 0.0347393 | -0.0173883 / 0.017418 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.022575 / -0.0225644 | 0.0155606 / -0.0155561 | 0.0302203 / -0.030147 | 0.0876355 / -0.0875293 | 0 / 0 | 0.0289449 / -0.0283038 | 0 / 0 | 0.0239754 / -0.023965 | -0.0232227 / 0.0239839 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.016696 / -0.0166953 | 0.0258818 / -0.0258809 | 0.0565768 / -0.0495431 | 0.0787739 / -0.0787882 | 0 / 0 | 0.0198114 / -0.0194875 | 0 / 0 | 0.0457237 / -0.0139647 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run3 | 0 / 0 | -0.0609048 / 0.0613166 | -0.0220093 / 0.0220664 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0 / 0 | 0.0353132 / -0.035226 | 0 / 0 | 0.02858 / -0.01458 | 0.0876723 / -0.0858384 | 0 / 0 | 0.0489466 / -0.0479762 | 0 / 0 | 0.116693 / -0.0596572 | -0.0145623 / 0.0175469 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0 / 0 | 0.0639982 / -0.0639157 | 0.0312301 / -0.0312067 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_FCal_MC23_NonClosure_PreRec | 0 / 0 | 0.0236325 / -0.0236365 | 0.023338 / -0.023342 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_1_run3 | 0 / 0 | 0.0173466 / -0.0173461 | 0 / 0 | 0.0282361 / -0.0282351 | 0.0182167 / -0.0182161 | 0 / 0 | 0.0384156 / -0.0384144 | 0.0378611 / -0.03786 | 0.0305751 / -0.030574 | 0.0196832 / -0.0196825 | 0 / 0 | 0 / 0 |
 | passHLT_run3 | 0 / 0 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_norm | 0 / 0 | -0.033289 / 0.0332823 | -0.03133 / 0.031324 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0 / 0 | -4.42098e-06 / 4.45426e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0545038 / -0.0351001 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | -2.04851e-05 / 2.08569e-05 | 0 / 0 | 0.0112166 / -0.00701461 | 0.0800544 / -0.079342 | 0 / 0 | 0.0118308 / -0.0115043 | 0 / 0 | 0.0130216 / -0.0130247 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0 / 0 | -1.3533e-05 / 1.37662e-05 | 0 / 0 | 0 / 0 | 0.09114 / -0.0912171 | 0 / 0 | 0.0104675 / -0.0101363 | -0.0160252 / 0.0160242 | 0.095718 / -0.0522831 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | 2.7995e-05 / -2.84282e-05 | -0.0189054 / 0.0294153 | -0.128737 / 0.146285 | -0.177455 / 0.196453 | 0 / 0 | -0.0233601 / 0.0237928 | -0.0264007 / 0.028461 | -0.181999 / 0.324929 | -0.0150059 / 0.0171542 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_mBB | 0 / 0 | -1.64515e-05 / 1.64515e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_pT_balance | 0 / 0 | 1.89497e-05 / -1.89497e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | hcc_BR | 0 / 0 | 0 / 0 | 0.0119199 / -0.0119208 | 0 / 0 | 0.0119199 / -0.0119208 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0 / 0 | 0.0143935 / -0.0143935 | 0.0156315 / -0.0156315 | 0.0695266 / -0.0695119 | 0 / 0 | 0.014715 / -0.0147166 | 0 / 0 | 0.125047 / -0.112615 | 0.0469492 / -0.0461896 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | -0.0886622 / 0.0896231 | -0.0910295 / 0.108117 | -0.165281 / 0.180093 | 0 / 0 | -0.0165916 / 0.0170037 | -0.0487995 / 0.0505406 | -0.0942065 / 0.226065 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0 / 0 | 0 / 0 | 0.0787816 / -0.0788424 | 0.0752215 / -0.0752773 | 0.0777179 / -0.0777772 | 0 / 0 | 0 / 0 | 0.0591899 / -0.0568246 | 0.120215 / -0.120346 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_4 | 0 / 0 | 0 / 0 | 0.0373058 / -0.0372691 | -0.0731651 / 0.0738106 | 0.0863842 / -0.0799741 | 0 / 0 | 1.80222e-05 / -1.82306e-05 | 0.0645733 / -0.0623117 | -0.161204 / 0.204528 | 0.0699513 / -0.0698243 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_5 | 0 / 0 | 0 / 0 | 0.0141379 / -0.0141351 | 0.101573 / -0.0971132 | -0.0354292 / 0.0375009 | 0 / 0 | 0 / 0 | -0.00906005 / 0.0114137 | 0.182127 / -0.170248 | -0.0231968 / 0.0232035 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_6 | 0 / 0 | 0 / 0 | 0.023959 / -0.0239553 | 0.109899 / -0.109779 | 0.0865219 / -0.0863951 | 0 / 0 | -4.76691e-05 / 4.81247e-05 | 0 / 0 | 0.0755546 / -0.0755059 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_9 | 0 / 0 | 0 / 0 | -0.036996 / 0.037014 | -0.0837685 / 0.0930016 | -0.097042 / 0.102749 | 0 / 0 | 0 / 0 | -0.0263644 / 0.0282877 | -0.0357166 / 0.0845783 | -0.0164676 / 0.016486 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | 0.0274037 / -0.0262449 | 0.0475584 / -0.0433038 | -0.0378247 / 0.0379249 | 0 / 0 | -5.43283e-05 / 5.50252e-05 | -0.0118474 / 0.0118491 | 0.0829964 / -0.0828847 | 0.0158697 / -0.0158664 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | -0.0675624 / 0.0677014 | -0.0797038 / 0.0842979 | -0.111986 / 0.11454 | 0 / 0 | 2.80396e-05 / -2.77798e-05 | 0 / 0 | -0.0920262 / 0.109064 | 0.0209588 / -0.0208314 | 0 / 0 | 0 / 0 |
