 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | pol_BBSR3_run3 | -2.90888e-06 / 2.90888e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | lumi_run3 | 0 / 0 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.0208635 / -0.0208663 | 0.0208635 / -0.0208663 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedME | 0 / 0 | -0.0109841 / 0.0109834 | 0 / 0 | 0 / 0 | -0.0124662 / 0.0124653 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0418462 / 0.041834 | -0.0100791 / 0.0100785 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedExp | 0 / 0 | -0.0231688 / 0.024777 | -0.0184793 / 0.0107188 | -0.0161744 / 0.0189782 | -0.0178516 / 0.0135281 | 0 / 0 | -0.0163063 / 0.011727 | -0.0323053 / 0.039107 | -0.0587218 / 0.104132 | -0.0213261 / 0.0236613 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0136544 / -0.0136578 | 0.0177114 / -0.0177171 | -0.0741889 / 0.0741027 | 0.0838136 / -0.0571953 | 0 / 0 | 5.31141e-05 / -4.9985e-05 | 0.0378747 / -0.0267585 | 0.110806 / -0.0631927 | 0.000121796 / -0.000122741 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0175311 / -0.0175285 | 0 / 0 | -0.012566 / 0.0125677 | 0.0835231 / -0.0575677 | 0 / 0 | 0.0223977 / -0.0223824 | 0.0470143 / -0.047 | -0.0155124 / 0.0170563 | -0.0307508 / 0.0309708 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.0172997 / -0.0173011 | 0 / 0 | -0.0849367 / 0.0849004 | 0.0894493 / -0.0475683 | 0 / 0 | 9.03392e-05 / -8.95255e-05 | -0.0248972 / 0.0270327 | 0.0392059 / 0.0256805 | 0.0141005 / -0.0137568 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0333529 / -0.0333556 | 0.0484347 / -0.0484414 | 0 / 0 | 0.151104 / -0.0937516 | 0 / 0 | 0.0255493 / -0.0240505 | -0.0217934 / 0.035261 | 0.146601 / -0.135004 | 0.450886 / -0.0759043 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.0201449 / 0.0201486 | -0.0590443 / 0.0590647 | 0.0309215 / -0.0309085 | -0.0731142 / 0.075948 | 0 / 0 | -0.0267216 / 0.0267297 | 0.0200005 / -0.0199955 | -0.103475 / 0.103496 | -0.0706167 / 0.0737445 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.0416057 / -0.0414494 | 0.0550944 / -0.0548259 | -0.0991882 / 0.100271 | 0.111577 / -0.0809281 | 0 / 0 | -3.22015e-05 / 3.36454e-05 | -0.0184101 / 0.0272258 | 0.152426 / -0.140124 | 0.491522 / -0.137772 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0287544 / -0.0287397 | 0.0425706 / -0.04254 | -0.0397033 / 0.0397388 | 0.124687 / -0.0830013 | 0 / 0 | 0.0128371 / -0.0120891 | -0.0277639 / 0.0299605 | 0.0706969 / -0.0557974 | 0.444492 / -0.0786913 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.0166126 / -0.0166121 | -0.0100623 / 0.0100627 | -0.0497434 / 0.0497597 | 0.0859421 / -0.0596823 | 0 / 0 | 5.52119e-05 / -5.31778e-05 | 0.0301329 / -0.023413 | 0.0702723 / -0.0555248 | 9.95384e-05 / -0.000101264 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run3 | 0 / 0 | -0.0775037 / 0.0781521 | -0.0835323 / 0.0842775 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0 / 0 | 0.0324028 / -0.0323294 | 0.0225927 / -0.0202877 | -0.0374535 / 0.0447244 | 0.0767069 / -0.0215617 | 0 / 0 | 0.0266788 / -0.0253706 | 0.0194134 / 0.0024804 | 0.143627 / -0.0638795 | 0.00017854 / -0.000173514 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0 / 0 | 0.0791916 / -0.0790769 | 0.0651106 / -0.0577724 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_FCal_MC23_NonClosure_PreRec | 0 / 0 | 0.0271928 / -0.0271982 | 0.0344548 / -0.0344636 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | -0.0170793 / 0.0171126 | -0.107147 / 0.12532 | -0.13906 / 0.145224 | -0.206671 / 0.23553 | 0 / 0 | 3.19225e-05 / -2.74163e-05 | 0.0139781 / 0.00902435 | -0.352363 / 0.441396 | 0.0196668 / -0.0196282 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | -0.0139404 / 0.0139629 | -0.178614 / 0.19199 | -0.208288 / 0.225768 | -0.12111 / 0.161075 | 0 / 0 | -0.0409711 / 0.0428197 | 0.0770548 / -0.0497449 | -0.478602 / 0.594301 | 1.58942e-05 / -1.42713e-05 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_1_run3 | 0 / 0 | 0.0176754 / -0.0176748 | 0 / 0 | 0.0414 / -0.0413988 | 0 / 0 | 0 / 0 | 0.0387603 / -0.038759 | 0.0482337 / -0.0482329 | 0.0214272 / -0.0214265 | 0 / 0 | 0 / 0 | 0 / 0 |
 | passHLT_run3 | 0 / 0 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_norm | 0 / 0 | -0.0301431 / 0.0301376 | -0.0291706 / 0.0291654 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | -3.59631e-06 / 3.64179e-06 | 2.9005e-06 / -2.84701e-06 | -0.0697068 / 0.0696238 | 0.028134 / -0.00184951 | 0 / 0 | 4.28154e-05 / -3.9156e-05 | 0.0530282 / -0.0371571 | 0.0426906 / -0.0069913 | 3.04782e-05 / -3.07242e-05 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0 / 0 | -4.18327e-06 / 4.24319e-06 | -2.97073e-06 / 3.0283e-06 | -0.0491242 / 0.0491183 | 0.0352934 / -0.00869928 | 0 / 0 | 6.85898e-05 / -6.86156e-05 | 0.0123464 / -0.0055327 | 0.0123489 / -0.00841456 | 0.0126482 / -0.0126496 | 0 / 0 | 0 / 0 |
 | JET_JERMC_DataVsMC_MC16 | 0 / 0 | -1.53868e-06 / 1.56433e-06 | 0.0734459 / -0.0733273 | 0.0400935 / -0.0400613 | 0 / 0 | 0 / 0 | -0.0166892 / 0.0166929 | 0 / 0 | 0.224113 / -0.222562 | -0.0271293 / 0.0271386 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_mBB | 0 / 0 | -1.36591e-05 / 1.36591e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_pT_balance | 0 / 0 | -4.4084e-06 / 4.4084e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | hcc_BR | 0 / 0 | 0 / 0 | 0.0119199 / -0.0119208 | 0 / 0 | 0.0119199 / -0.0119208 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
