 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_18      | bias_18 |
 | pol_CCSR3 | -1.75238e-06 / 1.75238e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.0208635 / -0.0208663 | 0.0208635 / -0.0208663 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PRW_DATASF | 0 / 0 | -0.012057 / 0.012055 | 0 / 0 | 0.0301352 / 0.0682836 | 0.0299538 / -0.0299655 | 0 / 0 | -4.53315e-06 / 4.59606e-06 | -0.0304552 / 0.0463754 | -0.0572504 / 0.106662 | 0.0778193 / -0.0717452 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedExp | 0 / 0 | -0.0154743 / 0.0175818 | -0.0160816 / 0.0151735 | -0.133988 / -0.189125 | 0.010742 / -0.186255 | 0 / 0 | -0.0117009 / -0.0815513 | -0.250812 / -0.1039 | 0.442704 / 0.734615 | 0.163861 / 0.264534 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0273177 / -0.0273314 | 0.0170045 / -0.0170098 | -0.119425 / 0.119218 | 0.0956328 / -0.0641801 | 0 / 0 | -0.028072 / 0.0297543 | 0.0691099 / -0.0495746 | -0.0417382 / 0.0636423 | 0.0200279 / -0.00559498 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0299153 / -0.0299084 | 0.0140158 / -0.0140141 | -0.0478237 / 0.0561017 | 0.0583999 / -0.0216875 | 0 / 0 | 0.0315548 / -0.029807 | 0 / 0 | 0.109518 / -0.0855477 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | -0.0335307 / 0.0335299 | 0 / 0 | 0.204157 / -0.105231 | 0.132755 / -0.0991013 | 0 / 0 | -0.0491577 / 0.0513329 | 0.0494024 / -0.0174471 | -0.0783169 / 0.118097 | 0.0657976 / -0.0453863 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0 / 0 | 0.0105796 / -0.0105803 | 0 / 0 | 0.247557 / -0.137092 | -0.0654748 / 0.0654438 | 0 / 0 | -0.0132668 / 0.0149196 | -0.06447 / 0.0736148 | 0.072978 / -0.0312915 | 0.0698771 / -0.05754 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0196255 / -0.0196184 | 0.0181292 / -0.0181233 | 0.159793 / -0.0129376 | -0.156354 / 0.157104 | 0 / 0 | -4.92181e-06 / 4.7719e-06 | 0.0157958 / -0.00703572 | 0.0678472 / -0.0280969 | 0.0176164 / -0.017375 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.0214936 / -0.0214928 | 0.0165177 / -0.0165171 | -0.0561412 / 0.0561633 | -0.0188409 / 0.0385115 | 0 / 0 | -0.0230051 / 0.0249912 | 0.023295 / -0.00100807 | 0.0161255 / 0.000926402 | -0.00412375 / 0.0124095 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | 0 / 0 | -0.010961 / 0.0109607 | 1.59979e-06 / -1.58479e-06 | 0.0585411 / 0.0859843 | 0.0621411 / -0.00428842 | 0 / 0 | -0.0158466 / 0.0184376 | -0.0460802 / 0.0769059 | 0.040417 / -0.0201186 | -0.0179942 / 0.0216457 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | 0.0329173 / -0.0329379 | 2.12735e-06 / -2.16631e-06 | 0.114277 / -0.0874118 | 0.12443 / -0.119359 | 0 / 0 | 0.0185639 / -0.0175049 | 0.0926644 / -0.0702854 | 0.139448 / -0.0720155 | 0.0166463 / -0.0119559 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run2 | 0 / 0 | 0.0145512 / -0.0145528 | 0.0209297 / -0.0209333 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0 / 0 | 0.0491501 / -0.0489871 | 0.0463466 / -0.0460767 | 0.194864 / -0.0963931 | -0.0149546 / 0.0149719 | 0 / 0 | 0.0517498 / -0.0478046 | 0.00139733 / 0.0163106 | 0.0423418 / 0.0189006 | 0.0011144 / 0.00913389 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | -0.0408882 / 0.0408841 | 0 / 0 | 0.102486 / -0.102437 | 0.0401217 / -0.0401192 | 0 / 0 | 2.14203e-06 / -2.32993e-06 | 0.0840145 / -0.047597 | 0.0445825 / 0.0494749 | 0.0256024 / -0.0133391 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | -0.0406479 / 0.040841 | -0.0212915 / 0.0217761 | -0.0607375 / 0.0944698 | -0.178164 / 0.182378 | 0 / 0 | 0.0340151 / -0.0316556 | -0.173343 / 0.190425 | -0.021742 / 0.0805135 | -0.0846901 / 0.113295 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_5 | 0 / 0 | -0.0216515 / 0.0216574 | -1.55161e-06 / 1.5415e-06 | 0.0557836 / 0.0251878 | -0.036238 / 0.0377493 | 0 / 0 | -0.0595125 / 0.0595517 | 0.0118466 / 0.0256015 | -0.0507214 / 0.0526539 | 0.108946 / -0.0977926 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_7 | 0 / 0 | 0.0240894 / -0.0240849 | 0 / 0 | -0.0795531 / 0.127365 | 0.0718803 / -0.0455024 | 0 / 0 | -0.0811974 / 0.0814029 | 0.214102 / -0.202105 | 0.0839106 / -0.0617989 | -0.113977 / 0.123607 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_8 | 0 / 0 | -0.035897 / 0.0358999 | -1.85722e-06 / 1.86961e-06 | -0.101876 / 0.101896 | 0.0271941 / -0.0271922 | 0 / 0 | 0.0428115 / -0.0410285 | -0.0492539 / 0.0496861 | 0.0206775 / 0.0618823 | 0.0563065 / -0.04454 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_9 | 0 / 0 | 0.0167889 / -0.0167844 | -8.27882e-06 / 8.33084e-06 | 0.190488 / -0.0923847 | -0.014581 / 0.014584 | 0 / 0 | 0.0756512 / -0.0755426 | 0.0830903 / -0.0751612 | 0.090599 / -0.0463679 | -0.0126057 / 0.012608 | 0 / 0 | 0 / 0 |
