 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_18      | bias_18 |
 | pol_CCSR2 | -1.85315e-06 / 1.85315e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.0208635 / -0.0208663 | 0.0208635 / -0.0208663 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.029242 / -0.0238423 | 2.32835e-05 / -2.34299e-05 | -0.083285 / 0.108758 | -0.0307069 / 0.0306911 | 0 / 0 | 0.0538851 / -0.053344 | 0.0939107 / -0.0657116 | 0.0035208 / 0.0366163 | 0.0416842 / -0.0318176 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.0254641 / -0.0203009 | 2.03027e-05 / -2.03398e-05 | 0.390146 / -0.288466 | 0.070124 / -0.0701439 | 0 / 0 | -0.0161322 / 0.0176131 | -0.0223239 / 0.0275831 | 0.0788617 / -0.0637224 | -0.0134336 / 0.0176613 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0250598 / -0.0250611 | 6.3435e-06 / -6.35778e-06 | 0.116762 / -0.040048 | -0.143054 / 0.169399 | 0 / 0 | 2.25693e-06 / -2.11141e-06 | 0.01212 / -0.0110275 | -0.0430651 / 0.0836875 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.0412776 / -0.0399948 | 2.2779e-05 / -2.3024e-05 | 0.0846529 / 0.0517228 | -0.0700252 / 0.0700642 | 0 / 0 | 0.0250206 / -0.0247968 | -0.00825838 / 0.0324252 | 0.0575178 / -0.041317 | 0.0463011 / -0.0302049 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run2 | 0 / 0 | 0.0129098 / -0.0077703 | 2.99161e-05 / -3.00424e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0 / 0 | 0.0658155 / -0.0512233 | 0.0261648 / -0.0261162 | 0.360725 / -0.276682 | -0.018206 / 0.0182317 | 0 / 0 | 1.56539e-05 / -1.52352e-05 | 0.0665639 / -0.0441761 | 0.0637852 / -0.021327 | 0.090107 / -0.0672188 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0 / 0 | 0.0208062 / -0.0208087 | 2.22808e-05 / -2.23359e-05 | 0.0438421 / -0.0359565 | -0.142984 / 0.143027 | 0 / 0 | 1.43013e-05 / -1.40413e-05 | -0.0648971 / 0.0706856 | 0.11302 / -0.0843793 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0.0295113 / -0.0295104 | -1.70453e-05 / 1.71412e-05 | -0.32928 / 0.335611 | 0.133259 / -0.126432 | 0 / 0 | 0.0110893 / -0.00780281 | 0.118433 / -0.0731283 | -0.0727114 / 0.0913426 | -0.0383892 / 0.0534818 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | -0.0319373 / 0.0412183 | -0.0237652 / 0.0238302 | 0.0477464 / 0.0767684 | -0.100256 / 0.101498 | 0 / 0 | -0.0271222 / 0.0293669 | 0.03618 / -0.0192556 | 0.0797253 / -0.0106612 | 0.109847 / -0.108604 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | -0.0138001 / 0.0256102 | -0.0264117 / 0.026493 | -0.112468 / 0.131783 | -0.247873 / 0.256888 | 0 / 0 | 0.0674378 / -0.065668 | -0.0413222 / 0.0608341 | 0.160941 / -0.125171 | -0.043528 / 0.0498578 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_4 | 0 / 0 | -0.00886497 / 0.0104863 | 0 / 0 | -0.0819576 / 0.0990653 | -0.0413273 / 0.0430348 | 0 / 0 | -0.0887888 / 0.0892353 | 0.0391162 / 0.00811216 | 0.019127 / -0.0075031 | 0.0111134 / -0.00600724 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_5 | 0 / 0 | 0.0372679 / -0.0372474 | 5.69705e-08 / -5.79236e-08 | -0.0597835 / 0.0964902 | -0.0913153 / 0.0913974 | 0 / 0 | 0.01849 / -0.0170955 | 0.10203 / -0.0970472 | -0.0337581 / 0.0512269 | -0.0128779 / 0.0167949 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_6 | 0 / 0 | 0.0224524 / -0.0224491 | -1.02896e-05 / 1.03193e-05 | -0.17037 / 0.171946 | 0.0195585 / -0.01432 | 0 / 0 | -0.044659 / 0.0453888 | -0.0574756 / 0.0683852 | -0.00753611 / 0.0226059 | 0.0374024 / -0.0364495 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_8 | 0 / 0 | 0.0329178 / -0.0328804 | 0 / 0 | 0.61647 / -0.540855 | 0 / 0 | 0 / 0 | -0.0354355 / 0.0358629 | 0.064711 / -0.0424727 | 0.0334306 / -0.0286849 | 0.0113974 / -0.0113971 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0.0329613 / -0.0329461 | 0 / 0 | -0.153022 / 0.205097 | 0.161279 / -0.160769 | 0 / 0 | 0.0530975 / -0.0528515 | 0.073747 / -0.0645016 | -0.0726851 / 0.0993675 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | -0.0171295 / 0.0183578 | 4.44696e-06 / -4.42949e-06 | -0.259708 / 0.287162 | 0.258719 / -0.242235 | 0 / 0 | -0.0176917 / 0.0194029 | 0.0933619 / -0.0861647 | 0.188064 / -0.139373 | 0 / 0 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_0_run2 | 0 / 0 | -0.0393434 / 0.0393331 | 0 / 0 | -0.0769902 / 0.076951 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_1_run2 | 0 / 0 | 0.0289425 / -0.0289481 | 0 / 0 | 0.0571636 / -0.0571853 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | passHLT_run2 | 0 / 0 | 0.02485 / -0.0248532 | 0.02485 / -0.0248532 | 0.02485 / -0.0248532 | 0.02485 / -0.0248532 | 0.02485 / -0.0248532 | 0.02485 / -0.0248532 | 0.02485 / -0.0248532 | 0.02485 / -0.0248532 | 0.02485 / -0.0248532 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_norm | 0 / 0 | -0.0459783 / 0.0459655 | -0.0238838 / 0.0238803 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | hcc_BR | 0 / 0 | 0 / 0 | 0.0119199 / -0.0119208 | 0 / 0 | 0.0119199 / -0.0119208 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PRW_DATASF | 0 / 0 | 0 / 0 | -0.0106696 / 0.010668 | 0.401139 / -0.312555 | -0.0230822 / 0.0230746 | 0 / 0 | -0.0211897 / 0.0230039 | -0.0531312 / 0.0637908 | -0.0191554 / 0.0259348 | -0.0370385 / 0.0461242 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedExp | 0 / 0 | 0 / 0 | -0.0143941 / 0.0164103 | 0.0553588 / 0.0774219 | -0.00267384 / -0.0554305 | 0 / 0 | -0.0603947 / 0.0189001 | -0.154133 / -0.0460209 | -0.025556 / -0.129892 | -0.142598 / -0.0731001 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0 / 0 | 0.0157171 / -0.0157149 | 0.212355 / -0.132678 | -0.0907324 / 0.0908658 | 0 / 0 | 3.71483e-06 / -3.58827e-06 | -0.016384 / 0.0243186 | 0.0800327 / -0.0535648 | 0.0380852 / -0.0270198 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_C_2_run2 | 0 / 0 | 0 / 0 | 0.0193753 / -0.0193773 | 0 / 0 | 0.0357582 / -0.035765 | 0 / 0 | 0.0363175 / -0.0363244 | 0.0346491 / -0.0346555 | 0.0279673 / -0.0279715 | 0.0227911 / -0.022794 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0 / 0 | 6.33314e-06 / -6.43103e-06 | -0.106547 / 0.125987 | 0.0362637 / -0.019098 | 0 / 0 | 3.62472e-06 / -3.04175e-06 | -0.00102044 / 0.00880094 | 0.0221071 / 0.00409623 | 0.0528979 / -0.0523296 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0 / 0 | 0 / 0 | 5.88961e-06 / -5.89565e-06 | -0.241838 / 0.263897 | -0.122204 / 0.122092 | 0 / 0 | 0.0751544 / -0.0720213 | -0.0318985 / 0.0443568 | 0.0927629 / -0.0714432 | 0.0133864 / -0.0103594 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0 / 0 | 1.39678e-05 / -1.41718e-05 | 0.0592571 / -0.0282073 | 0.0371519 / -0.0176821 | 0 / 0 | 0.0269064 / -0.0237076 | -0.039785 / 0.0526824 | 0.155756 / -0.0993296 | 0.0386436 / -0.0297453 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Statistical4 | 0 / 0 | 0 / 0 | 2.08468e-06 / -2.09084e-06 | -0.0114601 / 0.0314846 | 0.0323187 / -0.032329 | 0 / 0 | -0.0114893 / 0.013705 | 0.0296714 / -0.00832825 | -0.0588196 / 0.086692 | 0.0169383 / -0.0151854 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | 0 / 0 | 0 / 0 | -1.95272e-06 / 1.94321e-06 | 0.111172 / -0.0514909 | -0.0171311 / 0.0171304 | 0 / 0 | -0.0226925 / 0.0254342 | 0 / 0 | -0.0322679 / 0.0566537 | -0.0402525 / 0.0435412 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0 / 0 | 0 / 0 | 8.12909e-06 / -8.20462e-06 | -0.241153 / 0.240587 | 0.0188944 / -0.018898 | 0 / 0 | 0 / 0 | -0.104955 / 0.113477 | 0.145607 / -0.121329 | 0.0265347 / -0.0166888 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Detector1 | 0 / 0 | 0 / 0 | 1.97649e-06 / -1.98109e-06 | -0.130131 / 0.141872 | 0.140095 / -0.140394 | 0 / 0 | -0.00821627 / 0.0099322 | -0.0396159 / 0.0440154 | 0.00345508 / 0.0204809 | 0.0293723 / -0.0129984 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | 0 / 0 | 1.59257e-05 / -1.61445e-05 | -0.154611 / 0.164971 | 0.115924 / -0.116205 | 0 / 0 | -0.0154992 / 0.0158186 | 0.0409624 / -0.0318024 | 0.0157617 / 0.0092192 | 0.0423703 / -0.0409075 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0 / 0 | 0 / 0 | -7.98478e-06 / 8.03626e-06 | 0.247546 / -0.131651 | 0.0297197 / -0.0297291 | 0 / 0 | 2.18988e-06 / -1.99415e-06 | 0.130196 / -0.116392 | 0.0597526 / 0.00954226 | -0.0384545 / 0.0490424 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_9 | 0 / 0 | 0 / 0 | 2.86861e-06 / -2.9069e-06 | 0.0596657 / -0.0335861 | -0.0457912 / 0.0458178 | 0 / 0 | -0.0129316 / 0.0157752 | 0.0434984 / -0.0157037 | -0.136749 / 0.160464 | 0.0179868 / -0.0162792 | 0 / 0 | 0 / 0 |
 | JET_JERMC_DataVsMC_MC16 | 0 / 0 | 0 / 0 | -2.67053e-06 / 2.6847e-06 | 0.223988 / -0.110683 | 0.0733932 / -0.0421224 | 0 / 0 | 0.020463 / -0.0204552 | 0.0727704 / -0.0627111 | -0.02572 / 0.0283441 | 0.049732 / -0.0470186 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_mBB | 0 / 0 | 0 / 0 | 3.02571e-05 / -3.02571e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_pT_balance | 0 / 0 | 0 / 0 | 4.52414e-06 / -4.52414e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ggf_xs | 0 / 0 | 0 / 0 | 0 / 0 | 0.0453909 / -0.0662117 | 0.0453909 / -0.0662117 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
