 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | pol_CCSR1 | -2.74257e-06 / 2.74257e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | lumi_run3 | 0 / 0 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0 / 0 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.0208635 / -0.0208663 | 0.0208635 / -0.0208663 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PRW_DATASF | 0 / 0 | 0.0117366 / -0.0117384 | -0.0124866 / 0.0124844 | 0.42928 / 0.0045327 | 0.00522385 / 0.0857156 | 0 / 0 | 0.0448959 / -0.0430629 | 0.278608 / -0.251185 | 0.148834 / -0.0881877 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0688809 / -0.0688576 | 0.0120669 / -0.0120658 | 1.08759 / -0.500883 | 0.258172 / -0.170497 | 0 / 0 | 0.0110154 / -0.00914497 | -0.0483653 / 0.0483962 | 0.0429491 / 0.0203075 | -0.139635 / 0.145097 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.031542 / -0.0315462 | 2.54288e-05 / -2.57896e-05 | 0.538174 / 0.00179702 | 0.510113 / -0.414655 | 0 / 0 | 0 / 0 | 0.0550237 / -0.0420903 | -0.102322 / 0.192137 | 0.0709637 / -0.0644394 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0219669 / -0.0219679 | 0.047496 / -0.0475023 | 1.08512 / -0.0201776 | 0.126755 / 0.0905509 | 0 / 0 | 0.0215727 / -0.0215737 | 0.0735714 / -0.0721763 | -0.158561 / 0.160822 | 0.100702 / -0.098011 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.0175554 / 0.0175584 | -0.0330856 / 0.0330945 | -0.481772 / 0.473566 | -0.123309 / 0.185367 | 0 / 0 | -0.0568008 / 0.0608275 | 0.0946061 / -0.0944355 | -0.110114 / 0.13096 | 0.0265661 / -0.00625458 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.0398581 / -0.0397142 | 0.0668398 / -0.0664518 | 0.334356 / 0.122313 | 0.202266 / -0.137976 | 0 / 0 | 0.137883 / -0.136074 | 0.0409687 / -0.0132984 | 0.15896 / -0.0160324 | 0.180599 / -0.176823 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | -0.0163152 / 0.0163208 | 0.0410521 / -0.0410234 | 0.698244 / 0.828958 | -0.0527954 / 0.232125 | 0 / 0 | 0.0281043 / -0.0246102 | 0.259945 / -0.258811 | 0.0290895 / -0.0237299 | 0.0712528 / -0.0697928 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run3 | 0 / 0 | -0.120427 / 0.121873 | -0.0896738 / 0.0905233 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0 / 0 | 0.0178073 / -0.0178091 | 1.46267e-05 / -1.4482e-05 | 1.11714 / -0.0361705 | -0.147687 / 0.147737 | 0 / 0 | -0.0389401 / 0.0398669 | 0.016743 / 0.0333097 | 0.180009 / -0.0464659 | -0.123738 / 0.123756 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0 / 0 | 0.14375 / -0.121349 | 0.137189 / -0.136967 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_FCal_MC23_NonClosure_PreRec | 0 / 0 | -0.0236037 / 0.0236002 | 0.0498629 / -0.049882 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0.0480662 / -0.0480616 | 0 / 0 | 1.18175 / -0.985488 | 0.167218 / -0.0960199 | 0 / 0 | 0.0602792 / -0.0588738 | 0.229293 / -0.228713 | 0.198433 / -0.109405 | 0.0252284 / -0.0252279 | 0 / 0 | 0 / 0 |
