 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_18      | bias_18 |
 | pol_CCSR1 | 2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.021 / -0.021 | 0.021 / -0.021 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PRW_DATASF | 0 / 0 | -0.0240242 / 0.0240242 | -0.0185367 / 0.0185367 | -0.253279 / 0.253279 | 0.686446 / -0.367164 | 0 / 0 | -0.0125746 / 0.0183839 | -0.09099 / 0.219915 | -0.0378203 / 0.085844 | -0.0123818 / 0.0123819 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0723421 / -0.056431 | 0 / 0 | 1.41033 / 0.532128 | 0.364881 / 0.43329 | 0 / 0 | 0 / 0 | 0.295917 / -0.295917 | -0.0245146 / 0.176751 | 0.0260855 / -0.0237079 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0518281 / -0.0518281 | 0.017251 / -0.017251 | 0.193931 / -0.193931 | 0.453517 / -0.18183 | 0 / 0 | 0.0367644 / -0.0313967 | -0.212319 / 0.212319 | -0.0288176 / 0.182652 | 0.0570015 / -0.0570016 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.0549347 / -0.0390236 | 0 / 4.44089e-16 | 0.431615 / -0.196448 | -0.141255 / 0.330789 | 0 / 0 | -0.0581151 / 0.0593801 | 0.0338496 / -0.0338496 | 0.184643 / -0.0133513 | 0.0316122 / -0.0316122 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.017329 / -0.0173291 | 2.22045e-16 / -1.11022e-16 | 0.0550957 / 0.197407 | 1.15821 / -0.377956 | 0 / 0 | -0.0234871 / 0.0321881 | -0.126605 / 0.283273 | 0.245381 / -0.019356 | 0.0191943 / -0.0191942 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.028927 / 0.028927 | -0.0167433 / 0.0167433 | 0.678858 / -0.196943 | 0.707598 / -0.0336277 | 0 / 0 | -0.129282 / 0.135825 | 0.289377 / -0.142701 | 0.0842019 / 0.116823 | -0.119067 / 0.119067 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.0667415 / -0.0667415 | 0.0372987 / -0.0372987 | 0.725533 / -0.00330597 | 0.774001 / -0.688748 | 0 / 0 | 0.0905816 / -0.0808531 | -0.0283015 / 0.0283015 | 0.549671 / -0.115267 | 0.135067 / -0.135067 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0707947 / -0.0548836 | 0.0261035 / -0.0261035 | 0.19522 / -0.19522 | 0.135983 / -0.135983 | 0 / 0 | -0.0458372 / 0.0503219 | 0.258823 / -0.0959137 | -0.156265 / 0.164116 | 0.0615634 / -0.0613668 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.0860515 / -0.0701405 | 0.0126843 / -0.0126843 | -0.000666357 / 0.301759 | 0.929952 / -0.0792096 | 0 / 0 | 0 / 0 | -0.185557 / 0.185557 | -0.0200063 / 0.152219 | 0.0482927 / -0.0482928 | 0 / 0 | 0 / 0 |
