 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_18      | bias_18 |
 | pol_CCSR2 | -1.11022e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.021 / -0.021 | 0.021 / -0.021 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0297725 / -0.0242316 | 2.22045e-16 / 2.22045e-16 | -0.0852547 / 0.111558 | -0.031323 / 0.031323 | 0 / 0 | 0.0550838 / -0.0544744 | 0.0955267 / -0.0665684 | 0.00282554 / 0.0383222 | 0.0424087 / -0.0322852 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.0256096 / -0.0204181 | 0 / 0 | 0.392222 / -0.289555 | 0.0704366 / -0.0704366 | 0 / 0 | -0.0162108 / 0.0176998 | -0.0224032 / 0.0276903 | 0.0793008 / -0.0640599 | -0.0134753 / 0.0177244 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0251969 / -0.0251968 | -2.22045e-16 / 2.22045e-16 | 0.115907 / -0.0386774 | -0.143741 / 0.170352 | 0 / 0 | 4.44089e-16 / 0 | 0.0121612 / -0.0110597 | -0.0439623 / 0.0849925 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.0421632 / -0.0408271 | 0 / 0 | 0.0800555 / 0.0625597 | -0.0712044 / 0.0712044 | 0 / 0 | 0.0255485 / -0.0253159 | -0.00949716 / 0.0347919 | 0.0580926 / -0.0412173 | 0.0465966 / -0.0298185 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run2 | 0 / 0 | 0.0129698 / -0.0077783 | 2.22045e-16 / 4.44089e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0 / 0 | 0.0679189 / -0.051105 | 0.0273485 / -0.0273484 | 0.381279 / -0.289952 | -0.0189927 / 0.0189927 | 0 / 0 | 4.44089e-16 / 0 | 0.0680037 / -0.0420139 | 0.0632741 / -0.0135146 | 0.0928942 / -0.0666371 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0 / 0 | 0.021165 / -0.021165 | 2.22045e-16 / 2.22045e-16 | 0.0443585 / -0.0362557 | -0.144519 / 0.144519 | 0 / 0 | -4.44089e-16 / 0 | -0.0659619 / 0.0719396 | 0.114292 / -0.0848875 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0.0298551 / -0.0298551 | 0 / 0 | -0.33662 / 0.345004 | 0.134573 / -0.127631 | 0 / 0 | 0.0113895 / -0.00801831 | 0.121884 / -0.0752299 | -0.0730754 / 0.0921362 | -0.038276 / 0.0537253 | 0 / 0 | 0 / 0 |
