 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | pol_CCSR2 | -1.1548e-06 / 1.1548e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | lumi_run3 | 0 / 0 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.0208635 / -0.0208663 | 0.0208635 / -0.0208663 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PRW_DATASF | 0 / 0 | -0.0109842 / 0.0109825 | 0 / 0 | 0.610409 / -0.301793 | -0.109398 / 0.125632 | 0 / 0 | -0.00930322 / 0.00989629 | -0.137542 / 0.143768 | 0.0353774 / -0.0137463 | -0.0237832 / 0.0320893 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedME | 0 / 0 | -0.0113861 / 0.0113853 | 0 / 0 | -0.0439617 / 0.0993753 | 0.122369 / -0.120239 | 0 / 0 | -0.0419875 / 0.0420343 | -0.0763683 / 0.0853291 | 0.082277 / -0.076491 | -0.0473374 / 0.0520297 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedExp | 0 / 0 | -0.0233357 / 0.0276529 | -0.0165054 / 0.020201 | 0.152783 / -0.121049 | 0.374434 / 0.505598 | 0 / 0 | -0.0623404 / 0.0421539 | 0.183089 / 0.501987 | 0.0786098 / -0.0977961 | -0.162301 / -0.0918973 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0110287 / -0.0110289 | 0.0389401 / -0.0389439 | 0.180527 / -0.0328724 | 0.179097 / -0.143556 | 0 / 0 | 0.0227319 / -0.0216863 | -0.0334923 / 0.0427641 | -0.0154932 / 0.020851 | 0.0552189 / -0.0502649 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.0215858 / -0.0215424 | 0.0500055 / -0.0497825 | 0.263424 / -0.0838432 | -0.0477736 / 0.0614031 | 0 / 0 | 0.0335524 / -0.0326785 | 0.174142 / -0.165374 | 0.0129148 / -0.00607936 | 0.0248657 / -0.0234339 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.021945 / -0.0219362 | 0.0326952 / -0.0326763 | 0.232277 / -0.13577 | 0.111388 / -0.110851 | 0 / 0 | 1.26825e-05 / -1.24371e-05 | 0.0629534 / -0.0541798 | 0.0856907 / -0.0616225 | 0.0267437 / -0.0267308 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | 0.0103512 / -0.00817207 | -3.44723e-06 / 3.4907e-06 | 0.571479 / -0.0586682 | 0.0750244 / -0.0532875 | 0 / 0 | 0.0130883 / -0.012719 | -0.00912773 / 0.0174773 | 0.0441952 / -0.0368855 | 0.0187245 / -0.0162137 | 0 / 0 | 0 / 0 |
