 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | pol_BBSR3_run3 | -3.33067e-16 / 4.44089e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | lumi_run3 | 0 / 0 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.021 / -0.021 | 0.021 / -0.021 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedME | 0 / 0 | -0.0111023 / 0.0111023 | 0 / 0 | 0 / 0 | -0.0126006 / 0.0126006 | 0 / 0 | 0 / 0 | 0 / 0 | -0.042324 / 0.042324 | -0.0101873 / 0.0101872 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedExp | 0 / 0 | -0.0211033 / 0.0225477 | -0.0173839 / 0.0101029 | -0.0146164 / 0.0172061 | -0.0165918 / 0.0125242 | 0 / 0 | -0.0151925 / 0.0108902 | -0.0291841 / 0.0354067 | -0.0513686 / 0.092988 | -0.0193681 / 0.0214991 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0139531 / -0.0139532 | 0.0180982 / -0.0180982 | -0.0755825 / 0.0755825 | 0.085206 / -0.0578865 | 0 / 0 | -1.11022e-16 / 0 | 0.0384858 / -0.0270878 | 0.112432 / -0.063603 | -1.11022e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0178135 / -0.0178135 | 0 / 0 | -0.0127511 / 0.0127511 | 0.0838438 / -0.0569698 | 0 / 0 | 0.0226901 / -0.0226787 | 0.0478597 / -0.0478597 | -0.015808 / 0.0174144 | -0.031315 / 0.0315325 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.0173904 / -0.0173904 | 0 / 0 | -0.085353 / 0.085353 | 0.0900926 / -0.0479678 | 0 / 0 | -3.33067e-16 / -5.55112e-16 | -0.0250047 / 0.0271535 | 0.0397406 / 0.0254709 | 0.0140484 / -0.0137024 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0335459 / -0.033546 | 0.0487403 / -0.0487404 | 0 / 0 | 0.151001 / -0.0932793 | 0 / 0 | 0.0256383 / -0.0241292 | -0.0221412 / 0.0357317 | 0.147545 / -0.135791 | 0.446608 / -0.0695771 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.0207169 / 0.0207168 | -0.0609107 / 0.0609106 | 0.0316738 / -0.0316738 | -0.0752429 / 0.0782177 | 0 / 0 | -0.0275163 / 0.0275182 | 0.020505 / -0.020505 | -0.107034 / 0.107034 | -0.0725943 / 0.0758713 | 0 / 0 | 0 / 0 |
