 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | lumi_run3 | 0 / 0 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.0208635 / -0.0208663 | 0.0208635 / -0.0208663 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedExp | 0 / 0 | 0.0097116 / -0.0114064 | 0 / 0 | 0 / 0 | 0.0210832 / -0.0297405 | 0 / 0 | 0.0179879 / -0.0172405 | 0 / 0 | -7.31969e-08 / 9.78713e-08 | 0.0209647 / -0.0194436 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0400972 / -0.0401273 | 0.0391678 / -0.0391964 | 0.0309338 / -0.0309515 | 0.0318165 / -0.0318352 | 0 / 0 | 0.0335757 / -0.0335966 | 0.0349772 / -0.0349998 | 0.0424506 / -0.0424845 | 0.0136421 / -0.0136455 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0147096 / -0.0147077 | 0.0263578 / -0.0263524 | 0.0180042 / -0.0180015 | 0.0110188 / 0.00413356 | 0 / 0 | 0.0120557 / -0.0120544 | 0.023074 / -0.0230697 | 0.0256361 / -0.0256309 | 0.0187157 / -0.0187126 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.0487691 / -0.048779 | 0.0411893 / -0.0406409 | 0.0379408 / -0.037947 | 0.0374441 / -0.0214215 | 0 / 0 | 0.0401026 / -0.0401094 | 0.0453618 / -0.0453704 | 0.0519087 / -0.0519198 | 0.0409711 / -0.0409782 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0494794 / -0.0494863 | 0.0301357 / -0.0295836 | 0.0460279 / -0.0460338 | 0.0408672 / -0.0408715 | 0 / 0 | 0.0342628 / -0.0342657 | 0.054636 / -0.0546449 | 0.0566971 / -0.0567069 | 0.0120713 / -0.0120716 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.0243178 / 0.024323 | -0.0115656 / 0.0115669 | -0.0322132 / 0.0322217 | -0.013968 / 0.0139699 | 0 / 0 | -0.0168747 / 0.0168774 | -0.0311958 / 0.0312038 | -0.0284688 / 0.0284757 | -0.0102039 / 0.010205 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.0580264 / -0.0577299 | 0.0388469 / -0.0387101 | 0.0645187 / -0.0641558 | 0.0745644 / -0.0740873 | 0 / 0 | 0.037514 / -0.037386 | 0.0630977 / -0.0627498 | 0.0575432 / -0.0572514 | 0.0381418 / -0.0380097 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0301204 / -0.0301043 | 0.0122141 / -0.0122113 | 0.0347319 / -0.0347108 | 0.0339042 / -0.0338841 | 0 / 0 | 0.0221459 / -0.0221369 | 0.0420773 / -0.0420472 | 0.0459309 / -0.0458957 | 0.0266271 / -0.0266143 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.02378 / -0.0237792 | 0.013414 / -0.0134136 | 0.0192779 / -0.0192772 | 0.027116 / -0.027115 | 0 / 0 | 0.0185391 / -0.0185385 | 0.0265329 / -0.026532 | 0.0343864 / -0.0343855 | 0.0215349 / -0.0215341 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run3 | 0 / 0 | -0.0456611 / 0.0458984 | -0.033188 / 0.0333158 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0 / 0 | 0.0478628 / -0.0477078 | 0.0467841 / -0.0441428 | 0.0387358 / -0.0386321 | 0.112541 / -0.0969702 | 0 / 0 | 0.0399401 / -0.0398302 | 0.0469718 / -0.0468221 | 0.0558352 / -0.055628 | 0.0403552 / -0.0125333 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0 / 0 | 0.0166297 / -0.0166312 | 0.0134065 / -0.0134074 | 0.0101116 / -0.0101121 | 0.0214475 / -0.0214502 | 0 / 0 | 0.014474 / -0.0144751 | 0.0161255 / -0.016127 | 0.0195999 / -0.019602 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0 / 0 | 0.0784491 / -0.0783359 | 0.0724549 / -0.0712565 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_FCal_MC23_NonClosure_PreRec | 0 / 0 | 0.0225293 / -0.0225329 | 0.0125959 / -0.012597 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_1_run3 | 0 / 0 | 0.0169054 / -0.0169049 | 0 / 0 | 0.0303742 / -0.030373 | 0.0205308 / -0.0205301 | 0 / 0 | 0.0367382 / -0.0367369 | 0.0332501 / -0.0332489 | 0.0329775 / -0.0329763 | 0.0237641 / -0.0237632 | 0 / 0 | 0 / 0 |
 | passHLT_run3 | 0 / 0 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0 / 0 | 0 / 0 |
