 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_18      | bias_18 |
 | pol_CCSR3 | 8.88178e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.021 / -0.021 | 0.021 / -0.021 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PRW_DATASF | 0 / 0 | -0.0122536 / 0.0122537 | 0 / 0 | 0.0325189 / 0.0677423 | 0.030428 / -0.0304281 | 0 / 0 | 2.22045e-16 / 0 | -0.0306712 / 0.0468969 | -0.0573675 / 0.107724 | 0.0791366 / -0.0728703 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedExp | 0 / 0 | -0.0140179 / 0.0159604 | -0.0147614 / 0.0138867 | -0.142195 / -0.162183 | -0.00218108 / -0.164683 | 0 / 0 | -0.0166522 / -0.0710603 | -0.251268 / -0.0811733 | 0.48384 / 0.596218 | 0.177419 / 0.220237 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0279138 / -0.0279139 | 0.0173649 / -0.0173648 | -0.121513 / 0.121513 | 0.0972218 / -0.0649361 | 0 / 0 | -0.0286721 / 0.0304113 | 0.0702878 / -0.0502364 | -0.0429547 / 0.0654718 | 0.0201738 / -0.00538984 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0304247 / -0.0304247 | 0.0142441 / -0.0142442 | -0.0487927 / 0.0574067 | 0.057649 / -0.0195242 | 0 / 0 | 0.0320111 / -0.0302025 | 0 / 0 | 0.11058 / -0.0858173 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | -0.0336713 / 0.0336713 | 0 / 0 | 0.203616 / -0.104117 | 0.133023 / -0.0991297 | 0 / 0 | -0.0493831 / 0.0515801 | 0.0490364 / -0.0168387 | -0.0792433 / 0.11945 | 0.0657822 / -0.0452212 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0 / 0 | 0.010654 / -0.010654 | 0 / 0 | 0.249807 / -0.138225 | -0.0659346 / 0.0659346 | 0 / 0 | -0.0133582 / 0.0150242 | -0.0648932 / 0.0741352 | 0.0736559 / -0.0316415 | 0.0704165 / -0.0579607 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0197284 / -0.0197285 | 0.0182147 / -0.0182147 | 0.153712 / -0.00334956 | -0.155995 / 0.155995 | 0 / 0 | 2.22045e-16 / 0 | 0.0154714 / -0.00646545 | 0.0663949 / -0.0256465 | 0.0176962 / -0.0174539 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.0219626 / -0.0219626 | 0.0168747 / -0.0168748 | -0.0571275 / 0.0571275 | -0.0200689 / 0.0406654 | 0 / 0 | -0.0235361 / 0.0256122 | 0.0227652 / 0.000510902 | 0.0156841 / 0.00212908 | -0.00457978 / 0.0132436 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | 0 / 0 | -0.0109964 / 0.0109964 | 2.22045e-16 / 0 | 0.0605817 / 0.0845468 | 0.0630746 / -0.00494511 | 0 / 0 | -0.0158666 / 0.0184686 | -0.0458924 / 0.0768314 | 0.0407933 / -0.0203986 | -0.0180095 / 0.0216762 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | 0.0336164 / -0.0336163 | 0 / 2.22045e-16 | 0.116472 / -0.0888474 | 0.127278 / -0.12179 | 0 / 0 | 0.01894 / -0.0178515 | 0.0943935 / -0.0714137 | 0.141579 / -0.0725286 | 0.0169215 / -0.0121237 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run2 | 0 / 0 | 0.0146858 / -0.0146858 | 0.0211275 / -0.0211275 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0 / 0 | 0.0516098 / -0.0516098 | 0.0486179 / -0.0484723 | 0.197365 / -0.0845141 | -0.0156057 / 0.0156056 | 0 / 0 | 0.0540238 / -0.049598 | 1.14469e-06 / 0.0209446 | 0.0391373 / 0.0332675 | 0.000318448 / 0.0117935 | 0 / 0 | 0 / 0 |
