 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_18      | bias_18 |
 | pol_CCSR5 | -9.10159e-07 / 9.10159e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.0208635 / -0.0208663 | 0.0208635 / -0.0208663 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PRW_DATASF | 0 / 0 | -0.0218026 / 0.0217959 | -0.00987734 / 0.00987603 | 0.0719307 / 0.0111683 | -0.0470314 / 0.0469987 | 0 / 0 | -3.37703e-06 / 4.1499e-06 | 0.04099 / -0.0326155 | -0.0375705 / 0.0375499 | -0.0163507 / 0.0191672 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedME | 0 / 0 | -0.0101986 / 0.010198 | 0 / 0 | -0.110273 / 0.152248 | 0.0387248 / -0.0387313 | 0 / 0 | 0.010125 / -0.00883272 | 0.0555257 / -0.0555377 | -0.0110506 / 0.0110499 | -4.4522e-06 / 7.51383e-06 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedExp | 0 / 0 | -0.0218991 / 0.025018 | 0 / 0 | -0.170098 / 0.253394 | -0.168138 / 0.0528749 | 0 / 0 | -0.0716262 / -0.0372856 | -0.101301 / -0.0189854 | -0.0502418 / 0.0297043 | 0.0155246 / 0.0175297 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0114364 / -0.0114339 | 0.0155714 / -0.0155668 | 0.110899 / -0.0932466 | 0.13071 / -0.110464 | 0 / 0 | 0.0307567 / -0.0269573 | 0.0335676 / -0.0323273 | -0.018121 / 0.0181279 | 0.0273487 / -0.0270166 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.0231319 / -0.023131 | 0.0130006 / -0.0130002 | 0.116375 / -0.093652 | -0.095743 / 0.0958322 | 0 / 0 | 0.030835 / -0.0306887 | 0.0216107 / -0.02161 | 0.0319064 / -0.0319054 | 0.0704342 / -0.0565427 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | 0 / 0 | -0.0119504 / 0.0119501 | 0 / 0 | 0 / 0 | 0.0527622 / -0.0443938 | 0 / 0 | 0.022334 / -0.0206708 | -0.0204629 / 0.0204619 | 0.0113733 / -0.0113735 | 0.0316278 / -0.0280762 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0 / 0 | 0.011774 / -0.0117754 | 1.82275e-06 / -1.82487e-06 | -0.000143719 / 0.0159705 | 0.0438964 / -0.0387684 | 0 / 0 | -0.0241328 / 0.0242272 | 0.0158 / -0.014869 | 0.0126795 / -0.012681 | 1.24839e-05 / -1.25291e-05 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run2 | 0 / 0 | 0.0244333 / -0.0244383 | 0.0140706 / -0.014072 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0 / 0 | 0.0641649 / -0.0614153 | 0.0283645 / -0.0283076 | 0.0166035 / -0.00174368 | 0.0160548 / -0.00977699 | 0 / 0 | 0.0115181 / -0.0114087 | 0.0496578 / -0.0462518 | 0.031683 / -0.0316126 | 0.0388699 / -0.0370622 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | -0.0268034 / 0.0268021 | -1.04963e-05 / 1.04348e-05 | 0.203587 / 0.00328698 | 0.0994191 / -0.0993743 | 0 / 0 | 0.0244602 / -0.0234777 | -0.0806364 / 0.0806072 | 0 / 0 | 0.0434532 / -0.036547 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0.0270075 / -0.0269276 | -0.0177129 / 0.0177488 | -0.0121812 / 0.0201053 | 0.0168574 / 0.00293045 | 0 / 0 | -0.0137933 / 0.0144989 | 0.0380621 / -0.0262261 | -0.0165838 / 0.0166153 | -0.00891024 / 0.0114331 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | 0.0345566 / -0.0344261 | -0.0161492 / 0.0161793 | 0.0016164 / 0.0247918 | 0.106271 / -0.102979 | 0 / 0 | 9.22058e-06 / -9.35621e-06 | -0.0191658 / 0.0192084 | -1.42737e-07 / 1.44606e-07 | -0.00807755 / 0.0162789 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0 / 0 | -0.0239052 / 0.0238986 | 1.08925e-05 / -1.06796e-05 | 0.192126 / -0.0632845 | -0.115155 / 0.122209 | 0 / 0 | 0.0387935 / -0.0378457 | 0.0208025 / -0.0208071 | -2.31583e-07 / 2.27887e-07 | 1.32658e-05 / -1.35905e-05 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_4 | 0 / 0 | 0.0476044 / -0.047545 | -0.0116077 / 0.0116114 | 0.0247879 / -0.01722 | 0.0727992 / -0.0726618 | 0 / 0 | -0.0560702 / 0.0568994 | -0.055554 / 0.0558315 | 0.0393025 / -0.0392617 | 0.012753 / -0.00929581 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_6 | 0 / 0 | -0.0225657 / 0.022568 | -1.96455e-06 / 1.96737e-06 | -0.0311219 / 0.0411548 | -0.134709 / 0.142576 | 0 / 0 | 0.0331787 / -0.0313169 | 0.0954425 / -0.0944598 | 3.64646e-07 / -3.75935e-07 | -0.0290601 / 0.0384555 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_7 | 0 / 0 | -0.0150282 / 0.0150297 | 0 / 0 | 0.115066 / -0.0255249 | 0.0125568 / -0.00304545 | 0 / 0 | -2.45976e-05 / 2.53018e-05 | 0.074631 / -0.0742487 | 0.0385257 / -0.038514 | -0.0057411 / 0.0136791 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_8 | 0 / 0 | -0.0262583 / 0.0263194 | 0 / 0 | -0.021032 / 0.063786 | 0.153732 / -0.142738 | 0 / 0 | 0.0596794 / -0.0587093 | -0.0676561 / 0.074471 | 0.0524892 / -0.0512298 | -0.0290634 / 0.0340727 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_9 | 0 / 0 | 0.021358 / -0.0213506 | 0 / 0 | -0.0294028 / 0.0540048 | -0.0262355 / 0.0262449 | 0 / 0 | -0.0459237 / 0.0466929 | -0.046727 / 0.0512849 | -2.59013e-07 / 2.39803e-07 | 1.11146e-05 / -9.45663e-06 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | -0.0473021 / 0.0473259 | 0 / 0 | -0.152766 / 0.209773 | -0.0701136 / 0.0701609 | 0 / 0 | 0.0321025 / -0.0318389 | 0.083479 / -0.083366 | -0.0192982 / 0.0207611 | 1.85815e-06 / -1.01988e-06 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0.0281817 / -0.0281608 | -6.22526e-06 / 6.24623e-06 | -0.0254989 / 0.0329336 | 0.0912837 / -0.0910879 | 0 / 0 | 0.0146644 / -0.0145384 | 0 / 0 | 0.0384036 / -0.0383656 | 0.0350308 / -0.0243024 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_0_run2 | 0 / 0 | -0.0382631 / 0.0382533 | 0 / 0 | -0.0792642 / 0.0792226 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_1_run2 | 0 / 0 | 0.0311428 / -0.0311492 | 0 / 0 | 0.0592899 / -0.0593133 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | passHLT_run2 | 0 / 0 | 0.02485 / -0.0248532 | 0.02485 / -0.0248532 | 0.02485 / -0.0248532 | 0.02485 / -0.0248532 | 0.02485 / -0.0248532 | 0.02485 / -0.0248532 | 0.02485 / -0.0248532 | 0.02485 / -0.0248532 | 0.02485 / -0.0248532 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_norm | 0 / 0 | -0.0399643 / 0.0399547 | -0.0274454 / 0.0274408 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | hcc_BR | 0 / 0 | 0 / 0 | 0.0119199 / -0.0119208 | 0 / 0 | 0.0119199 / -0.0119208 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0 / 0 | 0.0139966 / -0.0140002 | -0.00941523 / 0.0204968 | 0.0331098 / -0.0326611 | 0 / 0 | -0.0148615 / 0.015666 | -0.0127048 / 0.012702 | 6.09758e-08 / -6.09179e-08 | -0.00985023 / 0.00984856 | 0 / 0 | 0 / 0 |
