 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | pol_CCSR3 | -1.11295e-06 / 1.11295e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | lumi_run3 | 0 / 0 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.0208635 / -0.0208663 | 0.0208635 / -0.0208663 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedExp | 0 / 0 | -0.0144778 / 0.0141788 | -0.0179554 / 0.0207241 | -0.340159 / -0.218075 | -0.287598 / 0.154803 | 0 / 0 | 0.0493828 / -0.0147095 | -0.147125 / 0.101082 | -0.0310643 / -0.00124719 | 0.076849 / 0.155437 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0302331 / -0.0302261 | 0.0151401 / -0.0151381 | 0.0964773 / -0.00516388 | 0.0365992 / -0.0365895 | 0 / 0 | 0.0513992 / -0.0513827 | 0.0723867 / -0.036608 | 0.0661125 / -0.05231 | -1.68036e-05 / 1.68733e-05 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | 0.0147749 / -0.0147722 | -0.0198011 / 0.0198048 | -0.186088 / 0.277843 | 0.25139 / -0.234454 | 0 / 0 | -0.0396136 / 0.0406776 | 0.0307133 / 0.0175994 | 0.0337949 / -0.033779 | -0.0548763 / 0.067303 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | -0.0226731 / 0.0241958 | 0.0437567 / -0.0435843 | -0.0535931 / 0.0538903 | 0.0817561 / -0.0811891 | 0 / 0 | -0.0164427 / 0.0170976 | 0.0101451 / 0.0311636 | -0.00672169 / 0.013452 | 0.0742312 / -0.0720628 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0 / 0 | 0.0125816 / -0.0125827 | 0 / 0 | -0.149256 / 0.182813 | 0.186514 / -0.186728 | 0 / 0 | -0.0255029 / 0.0262544 | -0.0336523 / 0.0496535 | -0.00501843 / 0.0174367 | 0.0523139 / -0.0431108 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling3 | 0 / 0 | -0.01113 / 0.0111308 | 6.1179e-07 / -6.08077e-07 | 0.290856 / -0.277134 | -0.00530468 / 0.0168901 | 0 / 0 | -0.0301005 / 0.0313646 | 0 / 0 | 0.0352804 / -0.0294175 | 0.0112551 / -0.0112543 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.0278064 / -0.0278054 | 0.0156398 / -0.0156393 | -0.0221301 / 0.127776 | 0.134449 / -0.0976259 | 0 / 0 | -1.25315e-05 / 1.15352e-05 | 0.0245359 / -0.0208342 | 0.0776784 / -0.0627607 | -0.038735 / 0.0527343 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | 0 / 0 | -0.0151239 / 0.0151234 | 1.94561e-06 / -1.93513e-06 | 0.286522 / -0.18159 | 0.0374257 / -0.0318554 | 0 / 0 | 0.0188038 / -0.0170638 | 0 / 0 | 0 / 0 | 0.0633574 / -0.0577902 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0 / 0 | 0.0150222 / -0.0150245 | -1.54694e-06 / 1.55705e-06 | 0.0922512 / -0.0451683 | -0.065207 / 0.065165 | 0 / 0 | -0.0154271 / 0.0154252 | 0.0161427 / -0.00716523 | 0.0475902 / -0.0253074 | 0.0122577 / -0.0041995 | 0 / 0 | 0 / 0 |
