 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | pol_CCSR2 | -9.99201e-16 / 8.88178e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | lumi_run3 | 0 / 0 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0.02 / -0.02 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.021 / -0.021 | 0.021 / -0.021 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PRW_DATASF | 0 / 0 | -0.0111632 / 0.0111632 | 0 / 0 | 0.625927 / -0.307405 | -0.111022 / 0.127744 | 0 / 0 | -0.00945635 / 0.0100614 | -0.139839 / 0.146501 | 0.036368 / -0.0143123 | -0.0240225 / 0.0324896 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedME | 0 / 0 | -0.0115086 / 0.0115086 | 0 / 0 | -0.0430539 / 0.0992491 | 0.123353 / -0.121155 | 0 / 0 | -0.0424619 / 0.0425217 | -0.077074 / 0.086204 | 0.0831613 / -0.0772515 | -0.0477624 / 0.0525376 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedExp | 0 / 0 | -0.0210915 / 0.0250594 | -0.0148649 / 0.0182852 | 0.13947 / -0.111584 | 0.401023 / 0.412108 | 0 / 0 | -0.0584526 / 0.0393741 | 0.21083 / 0.418275 | 0.0697128 / -0.0886247 | -0.163989 / -0.0742678 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0110855 / -0.0110855 | 0.039163 / -0.039163 | 0.178578 / -0.0300022 | 0.179843 / -0.144006 | 0 / 0 | 0.0228418 / -0.0217868 | -0.0338025 / 0.0431616 | -0.0156652 / 0.0210705 | 0.055454 / -0.0504576 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.0216969 / -0.0216969 | 0.0503637 / -0.0503637 | 0.251876 / -0.057659 | -0.0487127 / 0.0636815 | 0 / 0 | 0.0336722 / -0.0328156 | 0.17646 / -0.169235 | 0.0124586 / -0.00485953 | 0.0248936 / -0.0233637 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0220625 / -0.0220625 | 0.0328924 / -0.0328923 | 0.230145 / -0.132261 | 0.112465 / -0.11207 | 0 / 0 | -3.33067e-16 / -2.22045e-16 | 0.0629833 / -0.0540462 | 0.0851913 / -0.0606264 | 0.026893 / -0.026893 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | 0.0105321 / -0.00830314 | 2.22045e-16 / -2.22045e-16 | 0.577773 / -0.0530474 | 0.0763378 / -0.0540588 | 0 / 0 | 0.0133435 / -0.0129629 | -0.0094334 / 0.0179752 | 0.0450301 / -0.0375306 | 0.0190769 / -0.016505 | 0 / 0 | 0 / 0 |
