 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | pol_BBSR1_run3 | 4.45754e-06 / -5.16032e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | lumi_run3 | 0 / 0 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0.0198444 / -0.0198458 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.0208635 / -0.0208663 | 0.0208635 / -0.0208663 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0142651 / -0.0142688 | 0.0674445 / -0.0388197 | 0.00648225 / 0.0924925 | 0.122001 / -0.10611 | 0 / 0 | 0.016162 / -0.0161668 | -0.0762748 / 0.076514 | 0 / 0 | 0.0133253 / -0.012252 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0157609 / -0.015759 | 0 / 0 | 0.0886433 / -0.0886158 | 0.0921886 / -0.0791381 | 0 / 0 | 0.0188411 / -0.0173027 | 0.0780762 / -0.0780503 | 0.24018 / -0.0143895 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.0167307 / -0.0167322 | 0.0718424 / -0.0391804 | 0.0894618 / 0.0118695 | 0.0287411 / -0.0105973 | 0 / 0 | 0 / 0 | -0.0987257 / 0.0988347 | -0.234074 / 0.233802 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.052579 / -0.052587 | 0.14684 / -0.146958 | 0.0640203 / -0.0640335 | 0.0135393 / -0.00017496 | 0 / 0 | 0.0326757 / -0.0326782 | -0.0149312 / 0.0796838 | -0.0101082 / 0.0103987 | 0.0491014 / -0.0481991 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.0337767 / 0.033786 | -0.0750459 / 0.075071 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0497875 / 0.049804 | 0.0612234 / -0.0611625 | 0.231396 / -0.229005 | -0.0327319 / 0.0330247 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.070184 / -0.0697584 | 0.122378 / -0.093385 | 0 / 0 | -0.0498499 / 0.0525279 | 0 / 0 | 0.0721568 / -0.0717048 | -0.0312873 / 0.0774947 | -0.484092 / 0.526681 | 0.069491 / -0.0676797 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.0483666 / -0.0483279 | 0.0907603 / -0.0906483 | 0.0899018 / 0.0090194 | 0.123502 / -0.120679 | 0 / 0 | 0.0580028 / -0.0579459 | 0.0166381 / -0.00295452 | -0.243841 / 0.246876 | 0.0576731 / -0.0570013 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0.0203107 / -0.02031 | 0.0838001 / -0.0720836 | 0.00418819 / 0.0926268 | 0.0491525 / -0.0333164 | 0 / 0 | 0.019824 / -0.0186018 | -0.0459531 / 0.0459807 | 0 / 0 | 0.0147737 / -0.0143452 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec_run3 | 0 / 0 | -0.0974739 / 0.0984601 | -0.088734 / 0.0895672 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_0p2_PreRec | 0 / 0 | 0.147247 / -0.147033 | 0.208793 / -0.178635 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_FCal_MC23_NonClosure_PreRec | 0 / 0 | 0.0605151 / -0.060544 | 0.0785434 / -0.078594 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0.0145548 / -0.0145548 | 0.0464504 / -0.0464464 | -0.0222686 / 0.0222678 | 0.0719372 / -0.0719208 | 0 / 0 | 0.033243 / -0.0332416 | 0.134447 / -0.129845 | 0.242306 / -0.241619 | 0.0542302 / -0.0542234 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | -0.0166837 / 0.0167154 | -0.0415575 / 0.0822046 | -0.0280804 / 0.101616 | -0.216393 / 0.351464 | 0 / 0 | -0.0129121 / 0.0157548 | -0.0776079 / 0.347017 | -0.973068 / 1.35837 | -0.0725087 / 0.0760478 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_1_run3 | 0 / 0 | 0.017707 / -0.0177065 | 0 / 0 | 0.0370944 / -0.0370931 | 0 / 0 | 0 / 0 | 0.0358537 / -0.0358524 | 0.0357674 / -0.0357661 | 0.053224 / -0.0532237 | 0 / 0 | 0 / 0 | 0 / 0 |
 | passHLT_run3 | 0 / 0 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0.0247904 / -0.0247916 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_norm | 0 / 0 | -0.0297885 / 0.0297831 | -0.0299134 / 0.029908 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90404_vbfhcc_2223 | 0 / 0 | -0.0122749 / 0.0122739 | 0.0221505 / -0.0221538 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PRW_DATASF | 0 / 0 | -2.58309e-06 / 2.53266e-06 | 0.0294891 / -0.0295004 | 0.17286 / -0.173157 | 0.0104884 / -0.0104899 | 0 / 0 | 0 / 0 | 0.116092 / -0.116243 | 0.119754 / -0.119913 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | 0 / 0 | -1.51157e-05 / 1.49602e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0 / 0 | 2.23383e-05 / -2.26755e-05 | 0 / 0 | 0 / 0 | 1.31559e-05 / 0.0133318 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | 0 / 0 | 5.22691e-05 / -5.24453e-05 | 0.0139654 / -0.013969 | 0.00139279 / 0.0977935 | 0.121984 / -0.109047 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 0 / 0 | 0.000248596 / -0.000253817 | 0.0137512 / -0.00219289 | -0.0275076 / 0.112545 | 0.119007 / -0.0880644 | 0 / 0 | 0 / 0 | 0.13053 / -0.0888427 | 0.01019 / -0.0101239 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_Noise_PreRec | 0 / 0 | 6.7454e-05 / -6.77e-05 | -0.0244695 / 0.0244674 | 0.00316078 / 0.0953579 | 0.122632 / -0.106626 | 0 / 0 | 0 / 0 | 0.0510443 / -0.0507307 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | 3.719e-05 / -3.68388e-05 | -0.00727289 / 0.04532 | 0.0979105 / -0.0264281 | -0.226259 / 0.386701 | 0 / 0 | -0.0348078 / 0.038083 | -0.0745819 / 0.331677 | -0.971279 / 1.38881 | -0.0585496 / 0.0607637 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0 / 0 | -2.15916e-05 / 2.13708e-05 | -0.0207201 / 0.0207151 | -0.27145 / 0.270261 | 0.172708 / -0.172952 | 0 / 0 | -0.0102222 / 0.0102209 | -0.0194988 / 0.0240478 | -0.224961 / 0.225254 | 0.0126146 / -0.0126163 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_5 | 0 / 0 | -4.07e-06 / 4.05686e-06 | -0.0405853 / 0.0406048 | 0.314002 / -0.311469 | 0.171251 / -0.170665 | 0 / 0 | -0.0260308 / 0.0260395 | 0.242853 / -0.241493 | 0.502786 / -0.493522 | 0.0361555 / -0.0356374 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_mBB | 0 / 0 | 3.37178e-05 / -3.37178e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_pT_balance | 0 / 0 | -2.99393e-05 / 2.99393e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | hcc_BR | 0 / 0 | 0 / 0 | 0.0119199 / -0.0119208 | 0 / 0 | 0.0119199 / -0.0119208 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_4 | 0 / 0 | 0 / 0 | 0.016641 / -0.0166336 | 0.111972 / -0.111654 | 0.0591561 / -0.0590648 | 0 / 0 | 0.0174646 / -0.0174421 | 0.22348 / -0.217231 | -0.955404 / 1.01196 | -0.0467876 / 0.0468479 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_7 | 0 / 0 | 0 / 0 | -0.0132221 / 0.0132233 | -0.0644903 / 0.0645106 | 0 / 0 | 0 / 0 | -0.02113 / 0.0211327 | -0.0810936 / 0.081138 | 0.475232 / -0.470365 | 0.0105075 / -0.00994223 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_8 | 0 / 0 | 0 / 0 | 0.0665599 / -0.066548 | 0.0955188 / -0.0954934 | -0.00025673 / 0.0711174 | 0 / 0 | -0.0258293 / 0.0258308 | 0.0534216 / -0.000134097 | 0.481687 / -0.48057 | 0.0227053 / -0.0220855 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_9 | 0 / 0 | 0 / 0 | 0.00931045 / 0.0160058 | -0.0594458 / 0.0594882 | -0.0017273 / 0.0839009 | 0 / 0 | 0 / 0 | 0.0117188 / 0.0435871 | -0.01304 / 0.0130425 | -0.0289272 / 0.0293673 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | -0.0442043 / 0.0442388 | 0 / 0 | -0.00610177 / 0.0806729 | 0 / 0 | 0.0160386 / -0.0160328 | -0.109661 / 0.109824 | 0.486598 / -0.471869 | -0.0146607 / 0.014665 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | 0.0760734 / -0.0731395 | 0.0600154 / -0.0599606 | 0.0769184 / -0.0458192 | 0 / 0 | 0 / 0 | -0.0692201 / 0.0692664 | 0.241044 / -0.238834 | 0.0352407 / -0.0346621 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | 0.0145435 / 0.0288685 | 0 / 0 | 0 / 0 | 0 / 0 | 0.010541 / -0.0105379 | -0.114598 / 0.171194 | -0.728848 / 0.76708 | -0.0360546 / 0.0366764 | 0 / 0 | 0 / 0 |
 | JET_JERMC_DataVsMC_MC16 | 0 / 0 | 0 / 0 | 0.0898157 / -0.0896304 | 0.0592835 / -0.0592091 | 0.33764 / -0.333341 | 0 / 0 | 0 / 0 | 0.141164 / -0.140646 | 0.780598 / -0.738887 | 0.043435 / -0.0433969 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_C_0_run3 | 0 / 0 | 0 / 0 | -0.0181259 / 0.0181237 | 0 / 0 | -0.0621066 / 0.0620808 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0387579 / 0.0387479 | 0 / 0 | 0 / 0 |
