 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_18      | bias_18 |
 | pol_CCSR1 | -3.2798e-06 / 3.2798e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | vbf_PDF_aS | 0 / 0 | 0.0208635 / -0.0208663 | 0.0208635 / -0.0208663 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PRW_DATASF | 0 / 0 | -0.0236359 / 0.0236279 | -0.018238 / 0.0182333 | -0.248801 / 0.247592 | 0.670822 / -0.361744 | 0 / 0 | -0.012477 / 0.0181787 | -0.0914253 / 0.217956 | -0.0380201 / 0.0851636 | -0.0121831 / 0.0121811 | 0 / 0 | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / 0 | 0.0710301 / -0.0555502 | 0.000116785 / -0.000118267 | 1.41885 / 0.472793 | 0.373122 / 0.40228 | 0 / 0 | 0 / 0 | 0.287115 / -0.289258 | -0.0214384 / 0.169432 | 0.0255755 / -0.0232638 | 0 / 0 | 0 / 0 |
 | JET_Pileup_PtTerm | 0 / 0 | 0.0509016 / -0.0508856 | 0.0170556 / -0.0170531 | 0.188904 / -0.189041 | 0.454821 / -0.189864 | 0 / 0 | 0.0363844 / -0.0312088 | -0.211216 / 0.212324 | -0.022244 / 0.168894 | 0.0559668 / -0.0559486 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetNPV | 0 / 0 | 0.0545981 / -0.0387783 | 8.1375e-05 / -8.21571e-05 | 0.428291 / -0.195003 | -0.14129 / 0.329831 | 0 / 0 | -0.0578412 / 0.059084 | 0.0336952 / -0.0337001 | 0.18278 / -0.0124925 | 0.0314679 / -0.0314721 | 0 / 0 | 0 / 0 |
 | JET_Pileup_OffsetMu | 0 / 0 | 0.0172377 / -0.0172384 | 1.00668e-05 / -1.01538e-05 | 0.0596558 / 0.190213 | 1.15926 / -0.381497 | 0 / 0 | -0.023224 / 0.0318465 | -0.123971 / 0.278647 | 0.248571 / -0.0238461 | 0.0190924 / -0.0190931 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0 / 0 | -0.0281118 / 0.0281185 | -0.0162922 / 0.0162947 | 0.619092 / -0.178227 | 0.618957 / -0.0055221 | 0 / 0 | -0.125263 / 0.131466 | 0.270596 / -0.134539 | 0.0642229 / 0.124106 | -0.115022 / 0.115034 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Composition | 0 / 0 | 0.0661868 / -0.0658059 | 0.0370809 / -0.0369559 | 0.773554 / -0.0949213 | 0.727477 / -0.646658 | 0 / 0 | 0.090404 / -0.0809451 | -0.0282527 / 0.0283324 | 0.574373 / -0.163208 | 0.133259 / -0.131876 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0.071023 / -0.0554336 | 0.0260234 / -0.0260112 | 0.192454 / -0.192215 | 0.13449 / -0.134299 | 0 / 0 | -0.0455518 / 0.0499478 | 0.264144 / -0.103823 | -0.156359 / 0.164697 | 0.0611287 / -0.0608786 | 0 / 0 | 0 / 0 |
