 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | 0.013439 / -0.01003 | 4.44089e-16 / 2.22045e-16 | -0.0444474 / 0.0975209 | 0.15849 / -0.127688 | 0 / 0 | 4.44089e-16 / -2.22045e-16 | -0.0768195 / 0.0768195 | -0.0296409 / 0.0296409 | -0.0121386 / 0.0127151 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0 / 0 | -0.0272323 / 0.0272322 | 2.22045e-16 / 0 | -0.0272046 / 0.0272046 | -0.064974 / 0.0748095 | 0 / 0 | 0 / 0 | 0.0540791 / -0.050223 | 0.0113067 / -0.0113067 | -0.018261 / 0.0193829 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_5 | 0 / 0 | -0.0105663 / 0.0106461 | 0 / 0 | 0.0702214 / -0.0332791 | -0.00753089 / 0.0433959 | 0 / 0 | -0.0162671 / 0.0162671 | 0.022951 / -0.0215505 | -0.0508942 / 0.0508942 | -0.0104533 / 0.0121339 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_9 | 0 / 0 | 0.0165744 / -0.0153095 | 0 / 0 | 0.0949627 / -0.0949627 | 0.228672 / -0.210943 | 0 / 0 | 0.0135011 / -0.0135011 | -0.0309694 / 0.0309693 | 0.0289 / -0.0289 | 0.0466928 / -0.0428942 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0.0119055 / -0.0119054 | 0 / 0 | 0.122671 / -0.122671 | -0.0649635 / 0.0734488 | 0 / 0 | 2.22045e-16 / 4.44089e-16 | 0 / 0 | -0.0133259 / 0.0133259 | 0.0303801 / -0.0289334 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | -0.0302909 / 0.0302908 | 2.22045e-16 / 4.44089e-16 | -0.0328341 / 0.0328342 | -0.0381992 / 0.040655 | 0 / 0 | -0.0213734 / 0.0213734 | 0.0116315 / -0.0116315 | 0.0472116 / -0.0472116 | -0.00670695 / 0.0145338 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_1_run3 | 0 / 0 | 0.045265 / -0.045265 | 0 / 0 | 0.0837074 / -0.0837075 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | passHLT_run3 | 0 / 0 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0.025 / -0.025 | 0 / 0 | 0 / 0 |
 | ps_uncertainty_norm | 0 / 0 | -0.0357073 / 0.0357073 | -0.0333735 / 0.0333735 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | hcc_BR | 0 / 0 | 0 / 0 | 0.012 / -0.012 | 0 / 0 | 0.012 / -0.012 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_FCal_MC23_NonClosure_PreRec | 0 / 0 | 0 / 0 | 0.018604 / -0.018604 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_4 | 0 / 0 | 0 / 0 | 0.0111242 / -0.0111241 | 0.0390855 / -0.0390855 | 0.0190223 / 0.0116179 | 0 / 0 | 0.0295982 / -0.0292188 | -0.0162023 / 0.0176898 | -0.0461664 / 0.0461664 | -0.0300288 / 0.0310908 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_C_1_run3 | 0 / 0 | 0 / 0 | -0.0621109 / 0.062111 | -0.0100428 / 0.0100428 | -0.12294 / 0.12294 | 0 / 0 | -0.116007 / 0.116007 | -0.109798 / 0.109798 | -0.0911426 / 0.0911426 | -0.0678453 / 0.0678453 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_C_2_run3 | 0 / 0 | 0 / 0 | -0.0103246 / 0.0103247 | 0 / 0 | -0.0169638 / 0.0169639 | 0 / 0 | -0.01802 / 0.01802 | -0.017503 / 0.017503 | -0.0146643 / 0.0146643 | -0.01012 / 0.01012 | 0 / 0 | 0 / 0 |
 | PDF90412_vbfhcc_2223 | 0 / 0 | 0 / 0 | -0.0161708 / 0.0161708 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90414_vbfhcc_2223 | 0 / 0 | 0 / 0 | 0.0212768 / -0.0212768 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF90428_vbfhcc_2223 | 0 / 0 | 0 / 0 | -0.015344 / 0.015344 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | -0.127097 / 0.132139 | 0.0148544 / -0.0140329 | 0 / 0 | 0 / 0 | -0.0201038 / 0.0201038 | 2.22045e-16 / 0 | 0.0201315 / -0.018388 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling3 | 0 / 0 | 0 / 0 | 2.22045e-16 / 4.44089e-16 | -0.0429999 / 0.0498438 | 0.0663863 / -0.0596453 | 0 / 0 | 0.0147984 / -0.0145806 | 0.0300097 / -0.0300096 | -1.11022e-16 / -1.11022e-16 | -4.44089e-16 / -4.44089e-16 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed2 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | -0.08188 / 0.0832613 | -0.0282677 / 0.034795 | 0 / 0 | -2.22045e-16 / 0 | -0.0151157 / 0.0151158 | 0 / 0 | -4.44089e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed1 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0.0298206 / -0.0121985 | -0.0114835 / 0.0140096 | 0 / 0 | 0.014582 / -0.0145821 | -0.0279735 / 0.0279735 | -1.11022e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0 / 0 | 0 / 0 | 0.0608488 / -0.0594676 | -0.0503537 / 0.078562 | 0 / 0 | -3.33067e-16 / 4.44089e-16 | -0.0357165 / 0.0357166 | 0 / -1.11022e-16 | -0.0129489 / 0.0151351 | 0 / 0 | 0 / 0 |
